"Verbal","Math","GPA"
623,509,2.6
454,471,2.3
643,700,2.4
585,719,3
719,710,3.1
693,643,2.9
571,665,3.1
646,719,3.3
613,693,2.3
655,701,3.3
662,614,2.6
585,557,3.3
580,611,2
648,701,3
405,611,1.9
506,681,2.7
669,653,2
558,500,3.3
577,635,2
487,584,2.3
682,629,3.3
565,624,2.8
552,665,1.7
567,724,2.4
745,746,3.4
610,653,2.8
493,605,2.4
571,566,1.9
682,724,2.5
600,677,2.3
740,729,3.4
593,611,2.8
488,683,1.9
526,777,3
630,605,3.7
586,653,2.3
610,674,2.9
695,634,3.3
539,601,2.1
490,701,1.2
509,547,3.3
667,753,2
597,652,3.1
662,664,2.6
566,664,2.4
597,602,2.4
604,557,2.3
519,529,3
643,715,2.9
606,593,3.4
500,661,2.3
460,692,1.4
717,672,2.8
592,441,2.4
752,729,3.4
695,681,2.5
610,777,3.6
620,638,2.6
682,701,3.6
524,700,2.9
552,692,2.6
703,710,3.8
584,738,3
550,638,2.5
659,672,3.5
585,605,2
578,614,3
533,630,2
532,586,1.8
708,701,2.3
537,681,2.1
635,647,3
591,614,3.3
552,669,3
557,674,3.2
599,664,2.3
540,658,3.3
752,737,3.3
726,800,3.9
630,668,2.1
558,567,2.6
646,771,2.4
643,719,3.3
606,755,3.1
682,652,3.6
565,672,2.9
578,629,2.4
488,611,1.8
361,602,2.4
560,639,2.9
630,647,3.5
666,705,3.4
719,668,2.3
669,701,2.9
571,647,1.8
520,583,2.8
571,593,2.3
539,601,2.5
580,630,2.4
629,695,2.9
545,643,3
558,602,2.3
544,665,2
646,573,2
655,719,3.8
585,602,3.4
634,515,2.9
759,734,2.8
532,653,2.5
653,668,2.8
682,764,2.9
641,605,2.1
547,602,1.4
634,602,2.4
609,695,3
620,773,3.1
634,710,3
585,556,3.4
558,656,2
689,614,2.8
780,692,1.3
448,645,2
523,614,2.1
571,674,1.6
680,490,2
550,782,2.5
544,575,1.4
580,677,2.1
626,724,2
617,621,2
578,609,0.3
430,710,2.4
662,624,2.6
494,561,2.5
520,618,2.3
760,710,1.1
604,700,3
523,643,2.3
484,620,2
584,567,2.7
613,626,3.3
696,620,2
649,621,2.6
649,665,3.6
578,635,2.9
585,710,3.1
610,634,2.6
641,656,3.1
465,683,2.4
667,611,2.3
578,584,2.1
564,575,1.8
578,665,3
539,586,2.5
495,748,2.8
537,638,2.3
558,557,2.3
564,593,2.9
648,611,3.3
673,748,2.6
666,621,2.9
571,729,3.1
487,686,2.1
659,575,2.3
649,746,3
675,629,3
552,662,2.7
636,592,2.7
580,624,2.8
643,583,2.3
688,643,2.6
620,555,2.7
523,737,3
727,602,3.7
502,528,2.3
686,800,3.4
547,649,3
481,575,2
600,621,3.1
604,719,2.4
573,526,2.5
558,576,3.2
586,677,2
597,737,3.6
545,692,2.4
547,724,3.3
601,682,2.9
659,649,2.4
544,629,2.4
507,624,2.3
641,764,2.5
585,576,2.6
630,624,3.4
613,677,2.3
710,647,3
509,538,3
480,526,2.4
487,672,2.9
526,796,1.8
532,710,2.1
