"Game","League","Runs","Margin","Pitchers","Attendance","Time"
"CLE-DET","AL",14,6,6,38774,168
"CHI-BAL","AL",11,5,5,15398,164
"BOS-NYY","AL",10,4,11,55058,202
"TOR-TAM","AL",8,4,10,13478,172
"TEX-KC","AL",3,1,4,17004,151
"OAK-LAA","AL",6,4,4,37431,133
"MIN-SEA","AL",5,1,5,26292,151
"CHI-PIT","NL",23,5,14,17929,239
"LAD-WAS","NL",3,1,6,26110,156
"FLA-ATL","NL",19,1,12,17539,211
"CIN-HOU","NL",3,1,4,30395,147
"MIL-STL","NL",12,12,9,41121,185
"ARI-SD","NL",11,7,10,32104,164
"COL-SF","NL",9,5,7,32695,180
"NYM-PHI","NL",15,1,16,45204,317
