"state","admn90","admn85","open90","open85","dthrte90","dthrte85","speed90","speed85","cdthrte","cadmn","copen","cspeed"
"AL",0,0,0,0,2.59999990463257,2.90000009536743,1,0,-0.300000190734863,0,0,1
"AK",1,1,1,0,2.09999990463257,3.20000004768372,0,0,-1.10000014305115,0,1,0
"AZ",1,0,0,0,2.5,4.40000009536743,1,0,-1.90000009536743,1,0,1
"AR",0,0,0,0,2.90000009536743,3.40000009536743,1,0,-0.5,0,0,1
"CA",1,0,1,1,2,2.59999990463257,1,0,-0.599999904632568,1,0,1
"CO",1,1,0,0,1.89999997615814,2.40000009536743,1,0,-0.50000011920929,0,0,1
"CT",1,0,0,0,1.5,2,0,0,-0.5,1,0,0
"DE",1,1,0,0,2.20000004768372,2.20000004768372,0,0,0,0,0,0
"DC",1,1,0,0,1.60000002384186,3,0,0,-1.39999997615814,0,0,0
"FL",1,0,1,0,2.70000004768372,3.40000009536743,1,0,-0.700000047683716,1,1,1
"GA",0,0,0,0,2,2.70000004768372,1,0,-0.700000047683716,0,0,1
"HI",0,0,1,1,2.29999995231628,2,0,0,0.299999952316284,0,0,0
"ID",0,0,1,1,2.90000009536743,3.5,1,0,-0.599999904632568,0,0,1
"IL",1,0,1,1,1.89999997615814,2.29999995231628,1,0,-0.399999976158142,1,0,1
"IN",1,1,0,0,1.79999995231628,2.59999990463257,1,0,-0.799999952316284,0,0,1
"IA",1,1,1,1,2.09999990463257,2.40000009536743,1,0,-0.300000190734863,0,0,1
"KS",1,0,1,1,2.09999990463257,2.59999990463257,1,0,-0.5,1,0,1
"KY",0,0,0,0,2.59999990463257,2.59999990463257,1,0,0,0,0,1
"LA",1,1,0,0,2.5,3,1,0,-0.5,0,0,1
"ME",1,1,0,0,1.79999995231628,2.40000009536743,1,0,-0.600000143051147,0,0,1
"MD",1,0,1,1,1.89999997615814,2.29999995231628,0,0,-0.399999976158142,1,0,0
"MA",0,0,0,0,1.29999995231628,1.89999997615814,0,0,-0.600000023841858,0,0,0
"MI",0,0,1,1,1.89999997615814,2.40000009536743,1,0,-0.50000011920929,0,0,1
"MN",1,1,1,1,1.5,2,1,0,-0.5,0,0,1
"MS",1,1,0,0,3.20000004768372,3.59999990463257,1,0,-0.399999856948853,0,0,1
"MO",1,1,0,0,2.29999995231628,2.59999990463257,1,0,-0.299999952316284,0,0,1
"MT",0,0,1,1,2.5,3.09999990463257,1,0,-0.599999904632568,0,0,1
"NE",0,0,0,0,1.89999997615814,2.09999990463257,1,0,-0.199999928474426,0,0,1
"NV",1,1,0,0,3.59999990463257,3.90000009536743,1,0,-0.300000190734863,0,0,1
"NH",0,0,0,0,1.60000002384186,2.59999990463257,1,0,-0.99999988079071,0,0,1
"NJ",0,0,0,0,1.5,1.89999997615814,0,0,-0.399999976158142,0,0,0
"NM",1,1,1,0,3.09999990463257,4.19999980926514,1,0,-1.09999990463257,0,1,1
"NY",0,0,0,0,2,2.29999995231628,0,0,-0.299999952316284,0,0,0
"NC",1,1,1,1,2.29999995231628,3.09999990463257,1,0,-0.799999952316284,0,0,1
"ND",1,1,1,1,1.89999997615814,2.20000004768372,1,0,-0.300000071525574,0,0,1
"OH",0,0,0,0,1.79999995231628,2.09999990463257,1,0,-0.299999952316284,0,0,1
"OK",1,1,1,1,2,2.5,1,0,-0.5,0,0,1
"OR",1,1,1,1,2.20000004768372,2.79999995231628,1,0,-0.599999904632568,0,0,1
"PA",0,0,0,0,1.89999997615814,2.40000009536743,0,0,-0.50000011920929,0,0,0
"RI",0,0,0,0,1.29999995231628,2.09999990463257,0,0,-0.799999952316284,0,0,0
"SC",0,0,1,1,2.90000009536743,3.5,1,0,-0.599999904632568,0,0,1
"SD",0,0,1,1,2.29999995231628,2.29999995231628,1,0,0,0,0,1
"TN",0,0,0,0,2.59999990463257,3.40000009536743,1,0,-0.800000190734863,0,0,1
"TX",0,0,0,0,2,2.70000004768372,1,0,-0.700000047683716,0,0,1
"UT",1,1,1,1,2,2.79999995231628,1,0,-0.799999952316284,0,0,1
"VT",1,0,0,0,1.5,2.5,1,0,-1,1,0,1
"VA",0,0,0,0,1.79999995231628,2.09999990463257,1,0,-0.299999952316284,0,0,1
"WA",0,1,1,1,1.89999997615814,2.29999995231628,1,0,-0.399999976158142,-1,0,1
"WV",1,1,0,0,3.20000004768372,3.59999990463257,1,0,-0.399999856948853,0,0,1
"WI",1,0,1,1,1.79999995231628,2.09999990463257,1,0,-0.299999952316284,1,0,1
"WY",1,1,0,0,2.20000004768372,2.70000004768372,1,0,-0.5,0,0,1
