"husage","husunion","husearns","huseduc","husblck","hushisp","hushrs","kidge6","earns","age","black","educ","hispanic","union","faminc","husexp","exper","kidlt6","hours","expersq","nwifeinc","inlf","hrwage","lwage"
42,0,568,14,0,0,40,1,290,43,0,14,0,0,45000,22,23,0,0,529,29.9200000762939,0,NA,NA
26,0,600,14,0,0,0,0,654,26,0,14,0,0,45000,6,6,0,0,36,10.9919996261597,0,NA,NA
56,0,1500,14,0,0,40,1,100,49,0,12,0,0,55000,36,31,0,15,961,49.7999992370605,1,6.66666650772095,1.89711999893188
35,NA,0,12,0,0,40,0,0,35,0,10,0,NA,55000,17,19,1,0,361,55,0,NA,NA
42,0,450,11,0,0,45,1,0,43,0,13,0,NA,27500,25,24,0,0,576,27.5,0,NA,NA
55,0,465,13,0,0,50,0,0,58,0,12,0,NA,55000,36,40,0,0,1600,55,0,NA,NA
68,NA,0,16,0,0,0,0,360,56,0,12,0,0,22500,46,38,0,45,1444,3.77999997138977,1,8,2.0794415473938
48,0,492,10,0,1,48,0,0,48,0,12,1,NA,45000,32,30,0,0,900,45,0,NA,NA
38,NA,0,14,0,0,65,1,0,37,0,12,0,NA,37500,18,19,0,0,361,37.5,0,NA,NA
48,1,1923,12,0,0,21,0,0,39,0,14,0,NA,112500,30,19,1,0,361,112.5,0,NA,NA
56,0,450,12,0,0,40,0,0,52,0,12,0,NA,27500,38,34,0,0,1156,27.5,0,NA,NA
37,0,523,12,0,0,33,0,0,45,0,12,0,NA,32500,19,27,0,0,729,32.5,0,NA,NA
31,0,800,17,0,0,40,0,480,29,0,14,0,0,55000,8,9,0,40,81,30.0400009155273,1,12,2.4849066734314
40,NA,0,16,0,0,45,0,80,37,0,16,0,0,8750,18,15,1,8,225,4.59000015258789,1,10,2.30258512496948
63,NA,0,10,0,0,0,0,275,59,0,12,1,0,3000,47,41,0,25,1681,0,1,11,2.39789533615112
60,0,900,15,0,0,40,0,320,58,0,12,0,0,22500,39,40,0,0,1600,5.8600001335144,0,NA,NA
29,NA,0,12,0,0,70,0,229,28,0,16,0,0,112500,11,6,1,24,36,100.592002868652,1,9.54166698455811,2.25566816329956
28,0,480,14,0,0,42,0,0,27,0,18,0,NA,32500,8,3,1,0,9,32.5,0,NA,NA
35,NA,0,18,0,0,30,0,0,29,0,13,0,NA,112500,11,10,1,0,100,112.5,0,NA,NA
33,0,950,13,0,0,60,0,455,30,0,12,0,0,32500,14,12,1,40,144,8.84000015258789,1,11.375,2.43141794204712
34,0,1000,14,0,0,50,1,102,31,0,12,0,0,55000,14,13,0,20,169,49.6959991455078,1,5.09999990463257,1.6292405128479
42,0,730,14,0,0,40,1,300,41,0,12,0,0,32500,22,23,0,30,529,16.8999996185303,1,10,2.30258512496948
25,0,320,12,0,0,40,0,0,25,0,12,1,NA,17500,7,7,1,0,49,17.5,0,NA,NA
62,NA,0,12,0,0,20,0,0,59,0,13,0,NA,67500,44,40,0,0,1600,67.5,0,NA,NA
45,0,1154,16,0,0,38,1,425,45,0,18,0,0,67500,23,21,0,35,441,45.4000015258789,1,12.1428575515747,2.49674105644226
33,0,1350,16,0,0,40,0,770,32,0,12,0,0,112500,11,14,0,40,196,72.4599990844727,1,19.25,2.95751094818115
31,0,769,18,0,0,55,0,125,27,0,14,0,0,45000,7,7,1,21,49,38.5,1,5.9523811340332,1.78379130363464
55,1,695,12,0,0,72,0,0,51,0,12,0,NA,37500,37,33,0,0,1089,37.5,0,NA,NA
31,0,340,12,0,0,40,0,245,30,0,15,0,0,32500,13,9,1,35,81,19.7600002288818,1,7,1.94591009616852
22,0,450,12,0,0,43,0,0,21,0,12,0,NA,27500,4,3,1,0,9,27.5,0,NA,NA
44,0,750,12,0,0,40,1,539,42,0,12,0,0,55000,26,24,0,40,576,26.9720001220703,1,13.4750003814697,2.60083603858948
41,NA,0,16,0,0,40,0,0,28,0,14,0,NA,67500,19,8,1,0,64,67.5,0,NA,NA
45,0,1200,12,0,0,50,0,300,42,0,12,0,0,112500,27,24,0,40,576,96.9000015258789,1,7.5,2.01490306854248
22,0,249,12,0,0,40,0,299,23,0,13,0,0,27500,4,4,0,40,16,11.9519996643066,1,7.47499990463257,2.01156401634216
66,0,500,16,0,0,40,0,500,55,0,12,0,0,67500,44,37,0,40,1369,41.5,1,12.5,2.52572870254517
36,0,1500,16,0,0,60,0,0,31,0,17,0,NA,112500,14,8,1,0,64,112.5,0,NA,NA
58,0,360,12,0,0,40,0,0,57,0,14,0,NA,22500,40,37,0,0,1369,22.5,0,NA,NA
26,0,500,12,0,0,40,0,0,21,0,13,0,NA,37500,8,2,0,0,4,37.5,0,NA,NA
38,0,1000,16,0,0,40,1,0,39,0,16,0,NA,3000,16,17,0,0,289,3,0,NA,NA
33,0,675,16,0,0,40,0,0,33,0,12,0,NA,37500,11,15,1,0,225,37.5,0,NA,NA
55,NA,0,13,0,0,0,0,0,55,0,14,0,NA,11500,36,35,0,0,1225,11.5,0,NA,NA
43,0,400,12,0,0,50,1,260,31,0,12,0,0,45000,25,13,0,40,169,31.4799995422363,1,6.5,1.8718022108078
26,0,520,14,0,0,36,0,345,27,0,14,0,0,45000,6,7,0,40,49,27.0599994659424,1,8.625,2.15466499328613
37,1,500,12,0,0,50,0,213,30,0,12,0,0,32500,19,12,1,15,144,21.423999786377,1,14.1999998092651,2.65324187278748
51,0,500,12,0,0,40,0,320,49,0,12,0,0,67500,33,31,0,60,961,50.8600006103516,1,5.33333349227905,1.6739764213562
52,NA,0,12,0,0,0,0,0,48,0,16,0,NA,37500,34,26,0,0,676,37.5,0,NA,NA
40,NA,0,18,0,0,50,1,0,34,0,16,0,NA,112500,16,12,0,0,144,112.5,0,NA,NA
38,0,1500,16,0,0,40,0,550,38,0,16,0,0,67500,16,16,1,40,256,38.9000015258789,1,13.75,2.62103891372681
31,0,880,16,0,0,40,0,0,29,0,16,0,NA,0,9,7,1,0,49,0,0,NA,NA
57,1,1080,13,0,0,40,0,0,51,0,12,0,NA,0,38,33,0,0,1089,0,0,NA,NA
37,0,465,12,0,0,50,0,687,32,0,17,0,1,45000,19,9,1,40,81,9.27600002288818,1,17.1749992370605,2.84345483779907
57,NA,0,12,0,0,0,1,0,47,0,12,0,NA,22500,39,29,0,0,841,22.5,0,NA,NA
54,0,300,18,0,0,60,0,400,52,0,18,0,1,112500,30,28,0,50,784,91.6999969482422,1,8,2.0794415473938
57,NA,0,13,0,0,0,0,575,57,0,14,0,0,55000,38,37,0,40,1369,25.1000003814697,1,14.375,2.66549062728882
53,NA,0,12,0,0,60,1,0,49,0,12,0,NA,17500,35,31,0,0,961,17.5,0,NA,NA
29,0,600,16,0,0,50,0,460,27,0,14,0,0,55000,7,7,1,40,49,31.0799999237061,1,11.5,2.44234704971313
35,0,600,16,0,0,42,0,600,31,0,12,0,0,55000,13,13,0,40,169,23.7999992370605,1,15,2.70805025100708
33,1,1478,14,0,0,74,0,0,30,0,16,0,NA,55000,13,8,1,0,64,55,0,NA,NA
38,0,240,18,0,0,48,1,400,36,0,16,0,0,32500,14,14,0,40,196,11.6999998092651,1,10,2.30258512496948
24,NA,0,13,0,1,35,0,0,35,0,0,1,NA,6250,5,29,1,0,841,6.25,0,NA,NA
49,1,760,12,1,0,48,0,0,46,1,11,0,NA,112500,31,29,0,0,841,112.5,0,NA,NA
34,0,1000,16,0,0,40,0,0,34,0,16,0,NA,55000,12,12,1,0,144,55,0,NA,NA
49,0,1000,16,0,0,40,1,0,46,0,12,0,NA,45000,27,28,0,0,784,45,0,NA,NA
34,NA,0,16,0,0,40,0,173,29,0,16,0,0,3000,12,7,1,24,49,0,1,7.20833349227905,1.97523772716522
44,0,1450,18,0,0,40,1,1100,45,0,18,0,0,3000,20,21,0,40,441,0,1,27.5,3.31418609619141
32,0,326,16,0,0,40,0,0,28,0,14,0,NA,0,10,8,1,0,64,0,0,NA,NA
31,0,675,16,0,0,40,0,434,32,0,14,0,0,67500,9,12,1,24,144,44.931999206543,1,18.0833339691162,2.89499068260193
40,0,865,18,0,0,48,0,100,38,0,18,0,0,3000,16,14,1,10,196,0,1,10,2.30258512496948
47,0,1000,16,0,0,40,0,0,32,0,16,0,NA,45000,25,10,1,0,100,45,0,NA,NA
33,0,600,12,0,0,35,1,308,31,0,12,0,0,3000,15,13,0,30,169,0,1,10.2666664123535,2.32890248298645
54,NA,0,10,0,1,40,0,327,48,0,12,1,1,37500,38,30,0,35,900,20.496000289917,1,9.34285736083984,2.23461222648621
47,0,90,7,0,1,24,1,0,49,0,7,1,NA,3000,34,36,0,0,1296,3,0,NA,NA
45,0,387,4,0,0,45,0,240,45,0,4,0,0,27500,35,35,1,0,1225,15.0200004577637,0,NA,NA
47,NA,0,12,0,1,0,1,360,44,0,16,0,0,22500,29,22,0,40,484,3.77999997138977,1,9,2.19722461700439
41,NA,0,16,0,0,50,0,150,33,0,16,0,0,112500,19,11,1,25,121,104.699996948242,1,6,1.7917594909668
59,NA,0,15,0,0,0,0,0,49,0,12,0,NA,67500,38,31,0,0,961,67.5,0,NA,NA
42,1,650,4,0,1,52,1,0,39,0,12,1,NA,55000,32,21,0,0,441,55,0,NA,NA
59,1,400,12,0,0,40,0,0,57,0,12,0,NA,45000,41,39,0,0,1521,45,0,NA,NA
49,1,340,12,0,0,40,0,195,48,0,12,0,0,112500,31,30,0,0,900,102.360000610352,0,NA,NA
34,0,1923,18,0,0,60,0,962,33,0,18,1,0,112500,10,9,1,27,81,62.476001739502,1,35.6296310424805,3.57317757606506
66,NA,0,13,0,0,0,0,0,57,0,12,0,NA,32500,47,39,0,0,1521,32.5,0,NA,NA
53,0,385,12,0,0,0,0,576,45,0,12,0,0,55000,35,27,0,40,729,25.0480003356934,1,14.3999996185303,2.66722822189331
25,0,350,11,1,0,40,0,141,33,1,10,0,0,13750,8,17,0,35,289,6.41800022125244,1,4.02857160568237,1.39341187477112
