"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200"
26,37,76,97,60,11,42,91,6,40,78,36,86,72,17,7,38,68,81,72,68,28,99,10,38,92,50,95,65,79,100,39,97,52,66,50,5,12,80,0,69,86,83,23,29,0,24,15,51,39,4,4,13,5,56,0,89,38,89,49,70,58,80,88,2,62,54,34,44,5,54,71,50,45,88,54,44,83,60,76,34,29,92,6,35,89,1,66,58,22,0,55,62,81,25,5,60,46,95,40,94,90,13,97,14,45,51,39,74,26,63,89,78,12,32,89,83,53,12,51,39,68,22,38,28,23,67,57,88,1,46,86,19,35,49,95,66,66,29,30,71,7,77,63,91,56,4,73,38,59,11,99,82,2,77,40,61,54,33,21,31,44,15,24,33,23,48,47,27,35,100,12,2,28,23,10,42,23,73,37,1,30,18,65,49,93,25,24,89,35,82,55,87,90,89,25,29,19,93,100
61,24,64,0,9,21,38,8,99,61,91,82,72,40,8,77,23,38,26,63,56,5,64,25,99,22,51,70,71,30,45,50,28,17,40,61,58,22,9,61,78,5,32,1,53,10,40,65,33,26,55,89,83,68,11,48,99,65,32,51,56,50,59,82,84,26,69,80,30,78,82,97,22,30,20,54,44,73,52,41,6,4,97,64,43,68,86,40,40,65,64,45,48,50,14,24,58,89,10,95,14,2,88,98,55,55,78,45,63,67,43,73,59,48,47,85,68,72,51,11,51,0,51,92,33,76,69,97,17,0,88,17,94,46,94,62,77,76,63,68,67,46,71,19,12,87,14,52,75,78,54,30,79,31,89,63,34,93,44,65,17,22,99,13,54,38,9,5,10,42,1,66,49,13,68,91,26,94,42,2,95,63,78,52,98,9,44,21,20,40,89,21,53,87,18,29,33,74,18,84
27,4,98,9,19,36,19,6,80,0,83,6,63,59,32,89,54,5,61,67,15,16,17,17,82,90,65,31,80,60,54,9,95,42,26,66,23,38,93,49,57,55,41,68,83,20,91,2,47,67,50,2,19,42,62,41,81,60,52,93,61,22,71,63,19,39,53,88,68,50,62,83,41,83,24,60,54,8,100,56,8,31,76,8,15,42,93,86,24,45,81,10,7,49,49,44,95,6,42,37,60,77,18,48,31,83,19,32,62,58,64,26,45,87,84,21,20,89,80,37,47,74,83,79,86,55,24,60,40,93,42,73,74,92,47,100,41,39,38,96,36,30,15,90,88,9,90,12,59,74,98,75,86,79,95,36,56,0,21,75,94,46,91,56,14,17,33,73,29,72,82,16,72,95,49,4,59,66,18,0,57,100,22,8,26,3,44,52,42,13,91,65,16,47,49,90,39,57,70,57
88,77,39,71,100,44,17,79,64,11,85,96,3,92,98,54,43,92,69,75,39,48,45,97,0,64,30,97,46,62,60,78,31,0,32,92,21,70,86,10,8,40,16,100,6,97,39,84,80,38,93,85,41,68,100,25,11,41,18,75,58,39,13,56,57,7,32,63,3,100,71,35,45,89,28,42,36,16,72,41,13,54,46,19,22,42,7,87,78,79,51,59,72,100,76,48,64,55,49,51,82,71,89,44,10,72,19,28,77,68,12,28,25,5,46,26,21,1,80,91,64,74,100,19,11,57,13,43,87,28,29,89,18,86,90,70,12,54,77,13,18,22,31,13,66,44,66,31,52,82,41,36,64,64,23,22,86,85,65,64,61,14,21,27,38,45,28,56,54,3,14,57,98,36,100,38,15,40,57,21,0,93,12,44,93,59,33,77,98,83,16,20,28,97,17,99,99,19,83,13
73,96,18,4,61,15,72,52,32,15,90,70,19,80,85,36,92,75,34,6,84,96,17,54,51,79,69,45,23,3,94,26,41,15,21,47,96,60,37,27,15,61,41,12,95,7,61,13,16,93,44,98,57,50,62,99,25,75,90,99,74,88,64,0,37,12,17,39,43,48,36,66,29,60,48,51,91,70,96,62,72,71,25,90,53,30,99,90,76,49,42,15,63,24,44,4,90,27,72,23,95,100,27,43,41,88,29,41,32,96,37,79,18,63,22,9,13,72,12,68,73,86,14,23,60,76,16,51,8,5,47,42,52,45,85,38,91,82,40,17,100,21,37,52,35,63,31,60,12,62,90,14,46,27,19,11,85,27,96,69,54,88,13,90,76,25,7,39,84,26,4,28,15,29,75,17,65,0,86,14,10,83,40,88,69,15,17,85,60,95,5,54,41,97,42,82,31,29,25,58
2,44,98,85,10,79,28,22,32,99,73,83,92,37,62,27,45,95,10,59,80,5,70,54,97,53,55,41,84,8,43,72,68,84,99,4,39,17,35,9,75,39,25,69,15,41,99,91,23,36,66,57,22,43,73,0,18,12,21,35,45,91,11,48,18,22,44,2,85,93,81,59,33,87,5,24,75,89,60,46,24,9,86,2,49,51,2,37,20,59,47,72,75,24,54,32,25,84,36,29,18,82,95,3,39,71,29,66,12,38,31,60,32,61,79,5,98,32,51,88,22,11,4,54,44,42,51,87,13,83,85,33,44,67,29,45,17,88,87,89,45,9,12,38,92,72,88,51,44,76,32,94,66,1,39,82,7,85,10,26,14,60,13,86,93,74,3,59,6,70,100,48,68,6,46,4,25,5,61,78,65,60,57,66,86,33,84,8,6,74,61,71,91,66,79,84,0,96,19,56
100,35,26,12,71,13,9,58,13,54,49,93,52,36,7,51,66,0,44,12,74,3,92,33,25,3,70,34,29,31,70,19,15,56,38,3,27,46,27,74,71,69,58,55,38,30,93,3,5,1,60,11,43,0,41,95,68,1,40,92,88,85,72,8,73,25,9,47,52,48,38,41,97,10,38,51,22,75,69,29,79,23,30,18,19,18,80,54,49,5,65,51,99,56,69,47,39,0,75,19,10,41,76,75,100,59,83,72,97,27,7,45,35,39,67,31,42,77,21,75,85,58,57,80,75,31,18,98,87,49,83,23,20,63,62,22,76,3,71,0,51,78,5,94,70,85,30,54,99,63,45,80,31,15,30,6,39,87,73,100,43,39,87,23,31,24,66,10,30,90,47,82,44,84,14,52,86,3,99,91,42,91,65,72,93,96,73,29,8,38,59,44,41,4,73,32,39,80,76,20
18,78,95,47,41,2,32,73,23,80,45,50,23,90,24,99,96,13,35,76,92,14,85,96,80,17,38,63,44,32,96,34,53,73,14,34,1,60,56,96,23,4,68,46,99,59,3,83,7,67,24,4,75,24,86,64,56,65,60,4,40,37,18,16,50,100,46,33,42,65,88,79,34,12,67,11,32,80,50,47,26,80,5,56,86,0,55,34,79,39,52,42,10,50,51,82,94,18,39,35,5,20,37,91,89,58,92,70,68,40,32,19,91,51,20,91,27,62,32,99,6,24,89,61,50,44,60,81,96,41,35,99,96,47,82,99,54,3,45,92,48,64,43,69,65,3,81,97,28,18,93,34,100,97,32,58,55,14,89,89,84,61,85,25,53,53,61,34,23,62,35,57,46,43,64,15,64,81,11,49,34,1,7,62,16,44,38,56,50,49,29,70,1,97,23,86,9,57,13,33
100,86,13,97,90,3,42,42,55,40,68,29,58,77,82,32,6,23,78,30,84,24,32,0,67,56,40,19,93,26,94,97,30,40,38,59,36,61,27,78,3,57,62,37,79,33,38,26,31,76,21,46,24,9,21,3,48,85,29,65,70,20,13,50,88,21,90,53,46,25,99,95,1,57,59,73,35,22,34,51,31,73,69,82,87,67,25,27,43,59,32,44,44,89,70,88,71,34,28,30,79,64,62,99,84,0,1,90,70,14,21,28,11,42,22,18,48,95,12,58,51,1,51,67,41,30,53,62,43,40,64,63,93,59,56,48,54,52,39,78,12,89,78,38,59,19,83,8,30,95,84,77,45,48,67,69,74,12,40,63,73,10,75,62,91,11,75,92,81,43,33,75,22,39,22,41,67,49,35,89,34,52,96,0,53,19,68,23,51,35,15,20,10,62,96,86,77,44,49,74
30,47,4,43,62,33,17,17,53,39,50,7,26,79,16,21,80,99,67,0,86,37,30,61,60,27,57,46,27,100,19,32,15,71,4,86,60,51,34,41,58,66,57,86,44,70,2,38,54,8,95,44,19,81,47,57,37,68,55,36,47,42,95,87,55,64,40,64,89,96,21,86,72,84,41,42,6,68,77,66,64,59,69,38,63,67,79,59,16,57,97,62,59,76,22,54,21,70,20,10,76,54,49,44,34,29,61,84,10,0,48,15,39,0,54,93,52,52,6,15,94,85,63,20,77,10,94,40,88,21,37,78,52,41,85,78,19,43,16,58,15,100,61,18,40,51,94,49,90,100,73,24,70,5,69,65,25,62,28,56,27,39,95,41,27,58,70,22,99,41,14,3,55,94,33,61,69,32,28,71,58,51,64,58,57,96,93,94,0,11,98,4,91,24,71,89,34,98,17,52
