"site","parcel","code","island","id","plot","trt","ears","harvwt"
"DBAN","I",58,1,3,3,111,43.5,5.16
"LFAN","I",58,1,40,4,111,40.5,2.93
"NSAN","I",58,1,185.5,5.5,111,20,1.73
"ORAN","I",58,1,256.5,4.5,111,42.5,6.79
"OVAN","I",58,1,219.5,3.5,111,31.5,3.255
"TEAN","I",58,1,77,5,111,32.5,2.65
"WEAN","I",58,1,115,7,111,43.5,5.04
"WLAN","I",58,1,151,7,111,50,2.02
"DBAN","II",58,1,15.5,15.5,111,46,4.805
"LFAN","II",58,1,51,15,111,46.5,4.77
"NSAN","II",58,1,193.5,13.5,111,34,3.17
"ORAN","II",58,1,268,16,111,44,7.365
"OVAN","II",58,1,229.5,13.5,111,39,4.275
"TEAN","II",58,1,88.5,16.5,111,41.5,3.19
"WEAN","II",58,1,119.5,11.5,111,43.5,4.6
"WLAN","II",58,1,158,14,111,56,2.665
"DBAN","III",58,1,22.5,22.5,111,47,5.065
"LFAN","III",58,1,60,24,111,42.5,4.33
"NSAN","III",58,1,205,25,111,27,1.49
"ORAN","III",58,1,275,23,111,41.5,6.435
"OVAN","III",58,1,238,22,111,41,5.565
"TEAN","III",58,1,93,21,111,36,2.79
"WEAN","III",58,1,129.5,21.5,111,45.5,6.34
"WLAN","III",58,1,166,22,111,50.5,3.16
"DBAN","IV",58,1,29,29,111,41,4.51
"LFAN","IV",58,1,67.5,31.5,111,43.5,4.8
"NSAN","IV",58,1,212.5,32.5,111,25,1.97
"ORAN","IV",58,1,283.5,31.5,111,45,7.07
"OVAN","IV",58,1,249,33,111,46.5,6.235
"TEAN","IV",58,1,103.5,31.5,111,41,3.515
"WEAN","IV",58,1,140.5,32.5,111,46,6.125
"WLAN","IV",58,1,177.5,33.5,111,45.5,3.52
