"trt","age","educ","black","hisp","marr","nodeg","re74","re75","re78"
0,28,12,1,0,1,0,0,0,0
0,25,12,1,0,0,0,0,0,0
0,23,12,1,0,0,0,0,0,4728.725
0,34,14,1,0,1,0,0,0,0
0,34,16,0,0,1,0,0,0,11821.813
0,30,16,0,0,1,0,0,0,0
0,21,12,0,0,0,0,0,0,0
0,30,17,0,0,0,0,0,0,0
0,26,16,0,0,0,0,0,0,9014.1321
0,39,15,0,0,1,0,0,0,1921.0445
0,26,17,0,0,1,0,0,0,11821.813
0,32,16,0,0,1,0,0,0,0
0,34,12,0,0,1,0,0,0,0
0,31,14,0,0,1,0,0,0,0
0,39,17,0,1,1,0,0,0,8866.3594
0,40,17,0,0,1,0,0,0,0
0,31,12,0,0,1,0,0,0,0
0,27,13,0,0,1,0,0,0,28076.805
0,26,14,0,0,0,0,0,0,0
0,37,13,0,0,1,0,0,0,0
0,33,12,0,0,1,0,0,0,0
0,31,12,0,0,1,0,0,0,0
0,36,12,1,0,1,0,0,0,17732.719
0,28,17,0,0,1,0,0,0,0
0,30,17,0,0,1,0,0,0,0
0,30,12,0,0,1,0,0,0,0
0,27,16,0,0,1,0,0,0,0
0,37,12,0,0,1,0,0,0,0
0,37,12,0,0,1,0,0,0,0
0,35,16,0,0,1,0,0,0,0
0,27,17,0,0,1,0,0,0,0
0,29,16,0,0,1,0,0,0,8396.4424
0,39,13,0,0,1,0,0,0,0
0,32,12,0,0,1,0,0,0,0
0,29,14,0,0,1,0,0,0,0
0,26,14,0,0,1,0,0,0,0
0,37,12,0,0,1,0,0,0,0
0,38,12,0,0,1,0,0,0,0
0,37,13,0,0,1,0,0,0,0
0,27,17,0,0,1,0,0,0,0
0,39,12,0,0,1,0,0,0,0
0,34,12,0,0,1,0,0,0,0
0,21,14,0,1,0,0,0,71.612903,3657.3733
0,26,12,0,0,1,0,0,71.612903,0
0,21,13,0,0,0,0,0,692.85484,2659.9078
0,23,16,0,0,1,0,0,1521.7742,0
0,21,15,0,0,0,0,0,3222.5806,14777.266
0,23,14,0,0,0,0,0,3401.6129,5319.8157
0,27,16,0,0,1,0,0,4833.871,0
0,24,12,1,0,0,0,783.70672,0,10344.086
0,22,13,0,0,0,0,783.70672,0,2305.2535
0,35,15,0,0,1,0,979.6334,537.09677,0
0,26,15,0,0,0,0,979.6334,1879.8387,3250.9985
0,23,12,1,0,0,0,1077.5967,3222.5806,5910.9063
0,22,12,1,0,1,0,1269.6049,0,0
0,24,17,0,0,1,0,1371.4868,0,24825.806
0,27,16,0,0,1,0,1469.4501,1253.2258,4363.7266
0,21,14,0,0,0,0,1506.6762,2685.4839,11082.949
0,30,12,0,0,1,0,1959.2668,1790.3226,1477.7266
0,22,15,0,0,0,0,1967.1039,2864.5161,5024.2704
0,22,12,1,0,1,0,2006.2892,2470.6452,0
0,33,12,0,0,1,0,2351.1202,0,2770.7373
0,24,13,0,0,0,0,2351.1202,3127.6935,14777.266
0,20,12,1,0,0,0,2351.1202,4475.8065,17732.719
0,28,12,1,0,0,0,2938.9002,2864.5161,0
0,19,14,0,0,0,0,2938.9002,3222.5806,0
0,23,15,0,0,1,0,3320.9572,2506.4516,9974.6544
0,24,12,1,0,0,0,3330.7536,4654.8387,11821.813
0,27,12,0,0,1,0,3526.6802,0,5910.9063
0,27,12,0,0,1,0,3722.6069,254.22581,1090.5622
0,27,15,0,0,1,0,3722.6069,4654.8387,19210.445
0,27,12,1,0,1,0,3918.5336,1994.4194,17732.719
0,23,12,1,0,1,0,3918.5336,2864.5161,8866.3594
0,20,12,0,0,1,0,4310.387,0,4433.1797
0,30,17,0,0,1,0,4310.387,4296.7742,22476.221
0,25,16,0,0,1,0,4604.277,2954.0323,0
0,27,15,0,0,1,0,4702.2403,0,0
0,20,12,0,0,0,0,4811.9593,716.12903,0
0,23,9,1,0,0,1,0,0,218.70353
0,40,10,0,1,1,1,0,0,0
0,25,11,1,0,0,1,0,0,3694.3164
0,23,11,1,0,0,1,0,0,0
0,23,11,1,0,0,1,0,0,0
0,40,8,0,0,1,1,0,0,0
0,37,10,0,0,1,1,0,0,0
0,36,9,0,0,1,1,0,0,0
0,40,7,0,0,1,1,0,0,8866.3594
0,40,7,0,0,1,1,0,0,8866.3594
0,38,11,0,0,1,1,0,0,0
0,40,8,0,0,1,1,0,0,0
0,33,11,0,0,1,1,0,0,0
0,33,11,0,0,1,1,0,0,0
0,31,9,0,0,1,1,0,0,0
0,22,9,0,0,1,1,0,0,16846.083
0,21,8,1,0,0,1,0,895.16129,2305.2535
