"seedshape","cotylcolor","coatcolor","Observed"
"AA","BB","CC",8
"AA","Bb","CC",15
"AA","bb","CC",9
"AA","BB","Cc",22
"AA","Bb","Cc",45
"AA","bb","Cc",17
"AA","BB","cc",14
"AA","Bb","cc",18
"AA","bb","cc",11
"Aa","BB","CC",14
"Aa","Bb","CC",49
"Aa","bb","CC",20
"Aa","BB","Cc",38
"Aa","Bb","Cc",78
"Aa","bb","Cc",40
"Aa","BB","cc",18
"Aa","Bb","cc",48
"Aa","bb","cc",16
"aa","BB","CC",8
"aa","Bb","CC",19
"aa","bb","CC",10
"aa","BB","Cc",25
"aa","Bb","Cc",36
"aa","bb","Cc",20
"aa","BB","cc",10
"aa","Bb","cc",24
"aa","bb","cc",7
