"fight","attachment","work","score","late","coed","smorale","gender","income","free","pared","catholic","SCH_ID"
0,0,0,46,1,1,5,1,10,3,0,0,1
1,0,0,48,5,1,5,0,9,3,0,0,1
1,1,0,72,3,1,5,1,13,3,1,0,1
0,1,1,57,1,1,5,0,12,3,0,0,1
0,1,0,51,2,1,5,0,11,3,0,0,1
0,1,1,52,2,1,5,0,7,3,0,0,1
0,1,0,42,3,1,5,0,7,3,0,0,1
0,1,0,41,2,1,5,0,4,3,0,0,1
0,1,0,28,2,1,5,1,8,4,0,0,2
0,0,0,56,1,1,5,0,12,4,1,0,2
0,1,0,53,1,1,5,1,10,4,0,0,2
0,1,0,41,2,1,5,1,9,4,0,0,2
0,0,1,52,5,1,5,1,6,4,0,0,2
0,1,1,56,1,1,5,0,8,4,1,0,2
1,1,1,54,2,1,5,1,9,4,0,0,2
1,1,1,53,2,1,5,0,5,4,0,0,2
1,1,0,49,5,1,5,1,7,4,0,0,2
0,1,1,56,2,1,5,0,10,4,1,0,2
0,1,0,57,2,1,5,0,9,3,0,0,3
0,1,1,61,5,1,5,1,11,3,1,0,3
0,1,0,47,3,1,5,1,9,3,0,0,3
0,1,0,43,1,1,5,0,7,3,0,0,3
0,1,0,64,1,1,5,0,10,3,1,0,3
0,0,0,51,2,1,5,0,10,3,1,0,3
0,1,1,48,2,1,5,0,10,3,0,0,3
0,1,1,41,2,1,5,1,5,3,0,0,3
1,1,1,55,2,1,5,0,9,3,0,0,3
0,1,0,55,3,1,5,1,10,3,0,0,3
0,1,1,52,3,1,5,1,10,3,1,0,3
0,1,1,55,1,1,5,0,8,3,1,0,3
0,1,0,63,3,1,5,0,11,3,1,0,3
0,0,0,48,2,1,5,1,10,3,1,0,3
0,1,0,49,3,1,5,1,8,3,0,0,3
0,0,0,63,1,0,5,0,11,1,1,1,4
0,1,1,37,3,0,5,0,8,1,0,1,4
0,1,1,49,4,0,5,0,9,1,0,1,4
0,1,0,54,2,0,5,0,10,1,1,1,4
0,1,0,62,2,0,5,0,10,1,0,1,4
0,1,1,55,2,0,5,0,11,1,1,1,4
1,1,0,37,2,0,5,0,11,1,1,1,4
0,1,0,58,1,0,5,0,8,1,0,1,4
1,1,0,55,2,0,5,0,10,1,0,1,4
1,0,0,33,2,0,5,0,6,1,0,1,4
1,1,1,55,3,0,5,0,9,1,0,1,4
1,1,1,53,2,0,5,0,12,1,1,1,4
0,1,0,52,3,0,5,0,11,1,0,1,4
0,1,1,59,3,0,5,0,10,1,0,1,4
0,1,1,60,3,0,5,1,10,1,1,1,4
0,1,0,51,1,0,5,0,12,1,0,1,4
0,1,1,49,5,0,5,0,8,1,0,1,4
0,1,0,51,3,0,5,0,7,1,0,1,4
0,0,1,50,3,0,5,0,10,1,1,1,4
0,0,1,59,2,1,4,0,11,1,1,0,5
0,0,0,59,2,1,4,0,12,1,1,0,5
0,0,0,43,2,1,4,1,9,1,0,0,5
0,1,1,49,2,1,4,0,10,1,0,0,5
0,1,0,47,3,1,4,0,11,1,0,0,5
0,0,1,67,3,1,4,1,11,1,0,0,5
0,1,1,34,2,1,4,1,8,1,1,0,5
0,1,0,64,2,1,4,0,11,1,1,0,5
0,1,1,63,3,1,4,1,9,1,1,0,5
1,1,0,63,3,1,4,0,11,1,1,0,5
0,1,1,55,3,1,4,1,10,1,0,0,5
1,1,1,50,5,1,4,1,9,1,0,0,5
0,1,0,53,4,1,4,0,10,1,1,0,5
0,1,1,56,3,1,4,1,12,1,1,0,5
0,1,0,61,2,1,4,1,9,1,0,0,5
0,1,1,63,3,1,4,1,11,1,0,0,5
0,0,0,64,2,1,4,1,11,1,1,0,5
0,1,0,48,1,1,5,1,12,1,1,0,6
0,1,0,59,3,1,5,0,9,1,1,0,6
0,1,1,41,3,1,5,1,6,1,1,0,6
1,1,1,48,2,1,5,1,11,1,0,0,6
0,1,0,58,1,1,5,1,12,1,1,0,6
0,1,0,70,1,1,5,0,11,1,1,0,6
0,0,0,46,1,1,5,0,12,1,1,0,6
1,1,0,62,2,1,5,0,13,1,1,0,6
0,1,1,57,2,1,5,0,13,1,1,0,6
0,1,1,62,2,1,5,1,11,1,1,0,6
0,1,0,57,1,1,5,1,9,1,0,0,6
0,1,1,48,3,1,5,1,10,1,1,0,6
0,1,0,50,2,1,5,1,8,1,1,0,6
0,0,1,65,1,1,5,1,11,1,1,0,6
0,1,0,53,1,1,5,1,9,1,1,0,6
0,1,1,51,2,1,5,0,11,1,1,0,6
0,1,0,45,3,1,5,1,13,1,1,0,6
0,1,0,52,2,1,4,1,10,6,0,0,7
0,0,0,49,3,1,4,1,8,6,0,0,7
0,1,0,52,1,1,4,1,8,6,0,0,7
0,1,0,57,1,1,4,1,10,6,1,0,7
0,1,0,42,2,1,4,1,8,6,1,0,7
0,1,0,45,2,1,4,0,10,6,0,0,7
0,1,0,41,1,1,4,1,5,6,0,0,7
0,1,1,44,3,1,4,0,9,6,0,0,7
0,0,1,37,3,1,4,1,5,6,0,0,7
0,1,0,61,2,1,4,0,8,6,0,0,7
0,1,0,59,1,1,4,1,10,6,1,0,7
0,1,0,43,2,1,4,1,10,6,0,0,7
0,1,1,59,1,1,5,0,10,3,1,0,8
0,1,1,53,1,1,5,1,10,3,1,0,8
0,1,1,42,1,1,5,1,7,3,0,0,8
0,1,1,61,2,1,5,1,11,3,1,0,8
0,1,1,34,1,1,5,1,9,3,0,0,8
0,1,1,66,3,1,5,0,8,3,0,0,8
0,1,0,59,1,1,5,1,11,3,1,0,8
1,1,0,48,1,1,5,0,10,3,0,0,8
0,1,1,49,2,1,5,1,10,3,0,0,8
0,1,1,50,2,1,5,0,9,3,0,0,8
0,1,0,37,2,1,5,0,10,3,0,0,8
0,0,1,60,3,1,5,1,11,3,0,0,8
0,1,0,54,1,1,5,0,8,3,1,0,8
0,1,0,62,2,1,5,0,12,3,1,0,8
0,1,0,60,2,1,5,0,11,3,1,0,8
0,1,0,66,1,1,5,0,9,3,0,0,8
0,1,1,58,2,1,5,0,10,3,0,0,8
0,1,0,52,1,1,5,1,8,3,0,0,8
0,1,1,42,1,1,5,1,9,3,0,0,8
0,1,1,38,2,1,5,0,5,3,0,0,8
0,1,1,51,5,1,5,0,11,3,1,0,8
1,1,1,52,3,1,5,0,10,3,0,0,8
0,1,0,56,1,1,5,1,12,3,1,0,8
0,0,1,53,1,1,5,0,9,3,0,0,8
1,0,1,45,3,1,5,1,7,3,1,0,8
0,0,1,53,4,1,3,1,7,1,0,0,9
0,1,0,52,1,1,3,0,8,1,0,0,9
1,1,0,62,2,1,3,1,10,1,0,0,9
0,1,0,62,3,1,3,1,9,1,0,0,9
0,1,0,62,3,1,3,0,8,1,0,0,9
0,0,0,52,1,1,3,0,8,1,0,0,9
0,1,0,43,5,1,3,1,11,1,1,0,9
0,1,0,60,2,1,3,0,6,1,0,0,9
0,1,1,45,3,1,3,0,8,1,0,0,9
0,1,1,48,2,1,3,1,7,1,0,0,9
0,1,0,53,1,1,3,1,9,1,0,0,9
1,1,0,63,2,1,3,0,11,1,1,0,9
0,1,0,55,2,1,3,1,11,1,0,0,9
0,1,0,49,2,1,3,1,10,1,1,0,9
0,1,1,57,1,1,4,1,9,3,0,0,10
0,1,0,49,2,1,4,1,3,3,0,0,10
0,1,0,50,1,1,4,0,6,3,0,0,10
0,1,0,49,1,1,4,1,8,3,1,0,10
0,0,0,48,2,1,4,0,9,3,0,0,10
0,1,1,66,3,1,4,1,8,3,0,0,10
0,1,0,56,2,1,4,0,7,3,1,0,10
0,1,0,39,2,1,4,1,8,3,0,0,10
0,1,1,40,1,1,4,0,13,3,1,0,10
1,1,1,33,1,1,4,1,10,3,0,0,10
0,1,0,49,2,1,4,1,13,3,1,0,10
0,1,0,54,2,1,4,0,9,3,0,0,10
0,1,1,43,2,1,4,1,8,3,0,0,10
0,0,0,57,1,1,4,1,3,3,0,0,10
0,1,1,53,3,1,4,0,9,3,1,0,10
0,0,0,59,3,1,4,0,10,3,0,0,10
0,1,1,42,4,1,4,0,8,3,0,0,10
0,1,0,49,2,1,4,1,9,3,0,0,10
1,1,0,47,2,1,4,1,10,3,0,0,10
0,1,0,65,3,1,4,1,9,2,1,0,11
0,1,0,72,1,1,4,1,10,2,1,0,11
0,1,1,50,5,1,4,1,11,2,0,0,11
0,1,0,59,1,1,4,0,9,2,0,0,11
1,1,1,62,2,1,4,0,5,2,0,0,11
0,1,1,40,1,1,4,1,4,2,1,0,11
0,0,1,57,5,1,4,0,10,2,0,0,11
0,1,1,55,2,1,4,1,10,2,0,0,11
0,1,0,65,1,1,4,1,11,2,0,0,11
0,1,0,47,3,1,4,0,3,2,1,0,11
0,0,1,46,1,1,4,1,9,2,0,0,11
0,1,0,72,1,1,4,0,12,2,1,0,11
0,1,1,50,3,1,4,1,9,2,0,0,11
0,1,1,49,1,1,4,1,11,2,0,0,11
0,1,0,60,1,1,4,0,10,2,1,0,11
0,0,1,48,3,1,4,1,7,2,1,0,11
0,1,1,47,3,1,4,1,11,2,0,0,11
1,1,1,66,2,1,3,0,8,3,1,0,12
0,0,1,43,2,1,3,0,9,3,0,0,12
0,1,1,65,2,1,3,1,12,3,1,0,12
1,1,0,63,2,1,3,1,11,3,1,0,12
0,1,0,58,1,1,3,1,10,3,0,0,12
0,1,0,51,3,1,3,1,8,3,0,0,12
0,1,0,47,3,1,3,1,9,3,0,0,12
0,1,1,52,2,1,3,1,9,3,0,0,12
0,1,1,56,5,1,3,1,10,3,0,0,12
1,1,0,50,2,1,3,0,2,3,0,0,12
0,1,0,43,1,1,3,1,11,3,1,0,12
0,1,1,64,2,1,3,1,11,3,0,0,12
0,1,1,48,1,1,3,1,10,3,0,0,12
0,1,1,57,1,1,3,0,11,3,1,0,12
0,1,1,62,1,1,3,0,11,3,1,0,12
0,1,0,48,3,1,3,0,9,3,0,0,12
0,1,0,52,2,1,4,0,9,1,1,0,13
1,1,1,51,5,1,4,1,11,1,0,0,13
0,1,1,38,2,1,4,1,13,1,1,0,13
0,1,0,39,5,1,4,0,12,1,0,0,13
0,1,1,34,1,1,4,0,9,1,0,0,13
0,1,1,32,2,1,4,0,9,1,0,0,13
0,1,0,56,1,0,5,0,9,3,0,1,14
0,1,0,62,3,0,5,0,12,3,1,1,14
0,1,1,45,1,0,5,0,10,3,0,1,14
1,1,0,47,1,0,5,1,10,3,1,1,14
1,1,0,46,2,0,5,1,10,3,1,1,14
0,1,0,49,1,0,5,0,12,3,1,1,14
0,1,0,60,1,0,5,0,11,3,0,1,14
0,1,1,54,2,0,5,0,8,3,1,1,14
1,0,1,62,5,0,5,0,12,3,1,1,14
1,1,0,40,2,0,5,0,9,3,0,1,14
0,1,0,50,2,0,5,0,8,3,0,1,14
0,0,0,63,1,0,5,0,10,3,0,1,14
0,1,0,63,2,0,5,0,10,3,1,1,14
0,1,0,66,1,0,5,0,12,3,1,1,14
0,1,0,58,2,0,5,0,13,3,1,1,14
0,1,0,51,1,0,5,0,8,3,0,1,14
0,1,0,55,2,0,5,0,12,3,1,1,14
0,1,0,53,1,0,5,0,9,3,0,1,14
1,0,0,52,2,0,5,0,9,3,0,1,14
0,1,0,49,2,0,5,0,12,3,0,1,14
0,1,0,58,2,0,5,0,12,3,0,1,14
0,1,0,54,2,0,5,0,9,3,0,1,14
0,1,0,40,1,0,5,0,3,3,1,1,14
1,1,0,47,2,0,5,0,4,3,1,1,14
0,1,1,61,1,1,5,1,10,2,1,0,15
0,1,0,57,1,1,5,1,10,2,0,0,15
0,1,0,67,3,1,5,0,11,2,1,0,15
0,1,0,64,1,1,5,0,11,2,1,0,15
0,1,0,42,2,1,5,1,7,2,1,0,15
0,1,0,63,3,1,5,1,10,2,0,0,15
1,1,1,46,2,1,5,0,9,2,0,0,15
0,1,0,44,2,1,5,1,8,2,0,0,15
0,1,1,42,4,1,5,1,10,2,0,0,15
0,1,1,49,3,1,5,0,9,2,0,0,15
0,1,1,46,2,1,5,0,11,2,0,0,15
0,1,1,61,2,1,5,1,10,2,0,0,15
0,1,0,43,2,1,4,0,10,7,0,0,16
0,1,0,38,2,1,4,0,10,7,0,0,16
0,1,1,48,3,1,4,0,8,7,0,0,16
0,1,0,40,3,1,4,0,12,7,1,0,16
0,1,0,36,3,1,4,1,7,7,1,0,16
0,1,0,45,3,1,4,0,6,7,0,0,16
1,1,1,47,3,1,4,0,7,7,0,0,16
0,1,1,42,3,1,4,1,7,7,0,0,16
0,1,1,38,2,1,4,1,4,7,0,0,16
1,1,0,43,3,1,4,1,5,7,0,0,16
0,1,0,51,3,1,4,0,8,7,0,0,16
1,1,0,41,3,1,4,0,6,7,0,0,16
1,1,0,46,2,1,4,1,7,7,0,0,16
1,1,1,34,5,1,4,0,5,7,0,0,16
1,1,0,45,2,1,4,1,10,7,0,0,16
0,1,0,49,3,1,5,1,11,1,0,0,17
1,0,0,61,2,1,5,0,9,1,1,0,17
0,1,0,60,1,1,5,0,9,1,0,0,17
0,1,0,60,2,1,5,0,8,1,1,0,17
0,1,0,54,2,1,5,0,8,1,0,0,17
0,1,1,48,1,1,5,0,9,1,1,0,17
0,1,0,48,1,1,5,0,6,1,0,0,17
0,1,0,55,2,1,5,1,8,1,0,0,17
0,1,0,59,1,1,5,1,10,1,1,0,17
0,0,1,53,2,1,5,1,13,1,1,0,17
0,1,0,56,1,1,5,1,11,1,1,0,17
0,1,0,68,1,1,5,0,13,1,1,0,17
0,1,0,56,3,1,5,0,12,1,1,0,17
0,1,0,63,3,1,5,1,9,1,0,0,17
0,1,0,55,2,1,5,0,13,1,1,0,17
0,1,1,70,2,1,5,1,10,1,1,0,17
0,1,0,59,3,1,5,0,13,1,1,0,17
0,1,0,45,1,1,5,0,13,1,1,0,17
0,1,0,66,2,1,5,1,8,1,0,0,17
0,1,0,51,2,1,5,0,13,1,1,0,17
0,1,0,64,2,1,5,1,13,1,1,0,17
0,1,0,47,5,1,3,1,11,3,0,0,18
0,1,1,60,5,1,3,1,10,3,0,0,18
0,1,0,64,3,1,3,1,11,3,1,0,18
0,1,0,59,3,1,3,0,11,3,1,0,18
0,1,0,65,3,1,3,1,10,3,0,0,18
1,0,0,61,2,1,3,0,11,3,0,0,18
0,1,0,55,2,1,3,0,12,3,1,0,18
0,1,1,44,4,1,3,0,10,3,0,0,18
0,0,1,64,5,1,3,0,11,3,1,0,18
0,1,0,47,1,1,3,0,8,3,1,0,18
0,1,1,56,1,1,3,1,10,3,0,0,18
0,1,0,45,1,1,3,0,10,3,1,0,18
0,1,0,35,5,1,3,1,7,3,0,0,18
0,1,0,74,3,1,3,1,7,3,1,0,18
0,1,0,36,2,1,3,1,8,3,0,0,18
0,1,0,60,2,1,3,0,9,3,1,0,18
0,1,1,56,2,1,3,1,9,3,0,0,18
0,1,0,56,2,1,3,1,8,3,0,0,18
0,1,0,62,2,1,3,1,9,3,1,0,18
0,1,0,47,4,1,4,0,9,5,1,0,19
1,1,0,57,1,1,4,0,2,5,0,0,19
0,0,0,39,1,1,4,0,10,5,0,0,19
0,1,0,37,5,1,4,1,3,5,0,0,19
0,1,0,51,3,1,4,1,10,5,0,0,19
1,1,0,52,3,1,4,0,10,5,0,0,19
0,1,0,51,1,1,4,1,4,5,0,0,19
0,1,0,64,3,1,4,1,10,5,0,0,19
0,1,0,46,2,1,4,1,10,5,0,0,19
0,1,0,59,1,1,4,1,9,5,0,0,19
0,1,0,60,1,1,4,1,10,5,1,0,19
0,1,0,46,2,1,4,1,8,5,1,0,19
0,1,0,60,1,1,4,1,9,5,0,0,19
0,1,0,58,3,1,4,1,11,3,1,0,20
0,1,0,59,2,1,4,0,11,3,1,0,20
0,1,0,59,2,1,4,0,5,3,0,0,20
0,1,0,46,2,1,4,0,8,3,0,0,20
0,1,0,59,3,1,4,0,9,3,1,0,20
1,0,1,34,3,1,4,0,2,3,0,0,20
0,1,0,62,3,1,4,1,10,3,1,0,20
0,1,1,52,3,1,4,1,2,3,0,0,20
0,1,1,36,2,1,4,0,9,3,0,0,20
0,1,1,56,2,1,4,1,9,3,0,0,20
0,1,1,68,2,1,4,1,11,3,1,0,20
0,1,1,41,5,1,5,1,6,1,0,1,21
0,1,1,46,1,1,5,0,11,1,1,1,21
0,1,1,59,2,1,5,0,12,1,1,1,21
0,1,0,60,2,1,5,0,10,1,1,1,21
0,1,1,56,1,1,5,0,11,1,1,1,21
0,1,1,57,1,1,5,0,12,1,1,1,21
0,1,1,59,2,1,5,1,11,1,1,1,21
0,1,0,62,2,1,5,0,8,1,1,1,21
0,1,1,52,1,1,5,1,9,1,0,1,21
0,1,1,65,2,1,5,1,10,1,1,1,21
0,1,1,44,1,1,5,1,10,1,1,1,21
0,1,1,59,1,1,5,1,9,1,0,1,21
0,1,0,66,3,1,5,1,11,1,1,1,21
0,1,1,46,2,1,5,0,8,1,0,1,21
0,1,1,50,2,1,5,0,9,1,0,1,21
0,1,0,51,2,1,5,0,10,1,0,1,21
0,1,0,59,2,1,5,1,9,1,0,1,21
0,1,1,62,2,1,5,1,12,1,1,1,21
1,1,1,52,2,1,5,1,11,1,0,1,21
0,0,1,37,5,1,5,1,9,1,0,1,21
0,1,1,64,1,1,5,1,9,1,0,1,21
0,1,1,66,3,1,5,1,10,1,1,1,21
0,1,0,57,2,1,5,0,11,1,0,1,21
0,1,1,58,1,1,5,1,11,1,0,1,21
0,1,0,50,2,1,5,1,10,1,0,1,21
0,1,0,55,2,1,5,1,9,4,0,0,22
0,1,0,57,2,1,5,0,11,4,0,0,22
0,1,0,52,1,1,5,0,9,4,1,0,22
0,0,0,61,2,1,5,0,7,4,0,0,22
1,1,0,45,1,1,5,0,11,4,0,0,22
0,1,0,65,2,1,5,0,11,4,1,0,22
0,1,0,30,2,1,5,1,10,4,0,0,22
1,1,0,57,1,1,5,0,6,4,0,0,22
0,1,0,66,1,1,5,0,12,4,0,0,22
0,1,0,60,3,1,5,0,8,4,0,0,22
