"ppvtr.36","first","b.marr","income","momage","momed","momrace"
105,1,1,21446,20,2,3
91,1,1,12125,22,2,3
89,0,1,13560,22,2,1
85,0,1,24500,28,3,NA
66,0,0,3304,20,1,NA
NA,0,0,5832,27,2,NA
92,1,0,17022,26,2,3
94,1,1,13000,23,3,3
124,1,1,30100,25,4,NA
NA,1,1,34424,26,3,2
83,0,0,17500,23,3,1
69,1,0,25000,20,3,1
NA,0,1,22153,27,2,2
87,0,1,NA,21,1,NA
41,0,1,46000,25,1,2
NA,0,1,NA,27,3,NA
NA,1,1,2441,23,2,2
97,1,1,25600,23,2,3
76,0,0,0,24,1,2
115,1,1,39700,24,2,3
106,0,1,NA,28,NA,3
57,0,1,5016,25,1,2
92,0,0,18000,28,2,3
NA,0,1,44800,27,4,3
NA,0,1,18650,29,2,3
75,1,1,14040,25,2,NA
69,1,0,5200,25,3,2
104,1,1,21600,26,3,NA
52,0,1,NA,22,2,NA
83,0,1,24640,25,2,3
120,0,1,NA,28,2,3
70,0,0,6384,24,1,1
82,0,1,10200,24,2,2
66,0,1,NA,28,3,2
44,0,1,NA,25,1,2
55,0,1,32000,25,3,NA
NA,0,0,6096,26,NA,1
106,1,1,37000,26,1,3
74,0,1,17528,26,1,NA
88,1,0,4410,19,NA,NA
NA,1,0,0,23,1,1
72,1,1,94000,28,2,NA
74,0,1,6696,21,1,3
50,0,1,NA,24,3,2
99,1,1,28350,24,4,3
107,0,1,31000,26,3,3
90,0,1,23000,21,2,1
NA,1,NA,NA,23,3,3
132,0,1,23490,24,3,3
87,0,0,1343,19,1,NA
NA,1,1,NA,26,NA,3
NA,0,1,57720,23,3,3
NA,0,0,NA,23,2,NA
NA,0,1,12810,28,3,3
85,1,0,15000,20,2,1
78,0,1,13000,24,1,3
95,0,1,99000,29,4,3
103,0,1,15960,18,1,2
70,1,0,4820,23,1,1
NA,1,1,NA,26,2,NA
54,0,0,7164,21,1,NA
NA,0,0,NA,23,1,1
84,0,1,19315,29,3,3
87,0,1,65750,31,4,3
92,0,1,11750,22,2,3
59,1,0,NA,23,1,NA
79,0,1,28500,25,2,2
53,0,NA,NA,26,1,3
87,1,NA,NA,26,1,3
93,1,0,25000,21,2,1
NA,0,1,27000,28,3,2
96,1,1,NA,19,2,NA
124,1,1,60500,31,4,3
58,1,0,NA,19,2,1
