"age","mnum","mwage","fnum","fwage"
10,204,30.5,122,35
11,195,37.8,198,38
12,245,43,241,44
13,233,50.5,233,46
14,256,56.5,236,59
15,240,63,215,68
16,204,83.5,256,72
17,141,88.5,245,78
18,164,141,279,90
19,135,138.3,251,98
20,92,161.3,209,97
21,180,157.3,251,96
22,145,201.5,192,102
23,104,224,138,100
24,83,223.5,100,101
25,100,226.8,99,106
26,73,221,72,108
27,79,248,67,105
28,75,257,54,97
29,52,241,45,100
30,76,253.8,57,109
31,31,274.5,21,119
32,51,278,24,123
33,46,282.8,20,105
34,41,248.3,10,85
35,46,279,25,96
36,45,278,22,123
37,21,263.5,13,120
38,38,275,21,119
39,26,236.5,10,116
40,38,243.5,15,104
41,17,233.5,11,99
42,34,265.5,12,129
43,12,262,6,113
44,18,249.5,4,109
45,17,207,5,107
46,13,236.3,10,124
47,18,169,3,108
48,21,223,4,117
49,9,172.5,4,94
50,27,196,2,87
51,6,179,0,0
52,7,292,0,0
53,6,131.3,0,0
54,12,174,0,0
55,10,202.8,0,0
56,5,184,0,0
57,3,142.5,0,0
58,3,139,0,0
59,8,183.3,0,0
60,9,162,0,0
