"1","2","3","4","5"
33,10,14,48,36
13,50,47,58,73
49,7,11,57,48
53,83,24,98,18
42,22,27,70,81
17,25,52,24,46
5,64,37,29,38
24,10,84,60,13
36,33,45,15,43
69,98,9,87,52
1,77,30,92,78
44,88,15,33,3
62,58,0,17,59
35,33,78,88,43
39,40,12,93,83
58,79,44,29,93
75,20,51,37,16
49,88,60,5,62
95,37,29,70,39
68,98,86,84,36
51,68,1,11,8
24,4,93,93,73
50,44,70,65,46
70,6,68,42,85
64,69,6,66,20
11,35,30,80,48
3,91,55,91,56
87,66,37,10,91
64,3,80,42,38
31,56,60,38,49
93,38,32,48,63
36,84,98,44,49
90,9,56,95,100
57,59,94,80,57
35,80,57,87,35
98,1,17,72,47
85,73,68,85,57
100,29,56,80,90
62,15,28,78,22
20,39,29,84,39
56,49,95,60,75
21,95,86,53,69
49,41,9,72,19
63,88,31,61,68
46,25,11,64,27
2,70,96,16,75
47,14,38,54,13
16,37,39,78,84
90,88,15,85,15
80,61,68,60,69
54,73,5,28,11
28,100,76,0,59
17,38,89,39,40
82,47,40,45,33
21,58,38,8,30
64,5,86,62,57
31,57,19,78,74
85,30,47,38,65
97,89,52,100,76
85,10,64,0,17
42,78,65,25,23
28,85,96,52,93
2,49,86,44,86
5,89,35,55,29
36,31,59,12,58
24,100,10,5,88
43,95,63,40,11
45,30,18,15,44
55,84,23,89,85
28,31,96,38,38
35,86,20,80,89
17,66,1,3,0
26,12,21,0,53
80,55,10,26,11
3,76,18,8,85
13,24,39,74,53
64,37,87,73,57
8,69,67,14,8
59,76,71,75,80
99,86,47,71,44
1,88,76,42,3
71,87,34,91,15
68,95,64,93,44
76,19,19,22,30
48,58,55,82,68
6,74,61,44,3
80,87,42,76,43
17,55,33,88,20
26,60,49,21,24
5,76,20,11,78
58,73,69,20,75
79,48,66,79,77
47,54,77,21,22
90,82,11,12,19
75,98,1,100,3
84,26,87,98,38
36,5,99,69,59
10,31,82,51,73
97,90,85,5,36
48,53,67,95,33
10,32,93,19,85
40,42,68,61,42
94,3,1,28,74
27,98,45,29,61
62,78,49,28,26
31,64,68,32,44
85,70,92,32,93
31,71,25,21,90
61,2,74,27,88
85,9,57,32,88
68,77,22,1,9
68,48,10,56,48
66,42,15,43,41
100,54,73,58,71
19,53,58,33,28
98,11,18,62,51
94,81,43,92,23
65,8,41,96,40
62,86,58,39,93
91,80,44,62,90
9,44,64,82,97
23,54,96,52,81
39,63,90,76,8
87,91,31,51,33
57,64,65,88,90
16,16,28,67,74
39,9,63,37,80
37,77,79,25,42
98,58,6,33,65
33,48,72,10,4
68,13,34,38,47
89,77,13,93,3
97,40,82,16,84
37,46,77,11,0
45,72,16,0,29
88,54,61,25,34
43,84,8,20,87
6,23,29,64,73
24,30,36,25,31
28,59,46,95,9
89,100,82,46,35
53,23,32,40,17
1,19,30,32,10
32,78,63,93,59
4,1,49,85,69
87,75,74,69,47
94,99,49,75,39
64,23,35,0,74
62,53,76,40,20
99,34,55,84,36
34,92,26,46,37
12,28,72,90,100
11,13,17,37,11
22,27,89,73,100
1,76,39,29,27
54,68,88,71,58
77,81,17,3,76
12,43,49,53,87
54,14,12,32,22
15,63,43,0,83
96,18,70,81,68
68,58,97,50,46
89,38,57,38,72
88,96,77,43,44
85,93,55,21,39
94,46,10,47,54
47,95,91,37,88
30,70,27,82,71
49,58,60,6,90
3,1,52,4,9
27,47,29,89,10
31,100,38,86,15
33,20,7,25,53
74,19,78,57,0
31,19,48,15,62
55,50,25,71,42
73,27,88,41,19
6,93,74,51,97
79,8,89,5,56
93,11,49,26,11
48,3,30,91,87
16,27,37,40,81
43,54,85,8,70
81,70,27,51,42
29,93,49,98,54
46,62,67,1,74
3,10,83,8,67
94,9,71,58,6
23,10,86,16,63
93,53,16,4,42
64,78,74,50,33
88,91,8,29,93
64,21,83,80,22
73,94,8,41,56
60,41,48,66,0
79,48,48,86,71
78,82,10,93,6
52,9,46,64,30
9,34,98,93,78
43,89,21,100,69
