"shortname","SASname","longname"
"yearVeh","vehicle.","VEHICLE.MODEL.YEAR"
"psu","primary.","PRIMARY SAMPLING UNIT NUMBER"
"case","case.seq","CASE SEQUENCE NUMBER"
"bSpeed","barrier.","BARRIER EQUIVALENT SPEED"
"vBT","vehicleb","VEHICLE BODY TYPE"
"delVhi","estimate","ESTIMATED HIGHEST DELTA V"
"basisdelV","basis.fo","BASIS FOR TOTAL DELTA V (HIGHEST)"
"totdelV","total.de","TOTAL DELTA V"
"vmake","vehiclem","VEHICLE MAKE"
"vehDispos","police.r","POLICE REPORTED VEHICLE DISPOSITION"
"vnum","vehiclen","VEHICLE NUMBER"
"yearacc","yearacc","yearacc"
"dvcat","dvcat","dvcat"
"car","car","car"
"minivan","minivan","minivan"
"stwagon","stwagon","stwagon"
"suv","suv","suv"
"pickup","pickup","pickup"
"van","van","van"
"largecar","largecar","largecar"
"smallcar","smallcar","smallcar"
"nif","national","NATIONAL INFLATION FACTOR"
"autobelt","proper.u","PROPER USE OF AUTO (PASSIVE) BELT SYSTEM"
"ageOFocc","age.of.o","AGE OF OCCUPANT"
"abAvail","air.bag.","AIR BAG SYSTEM AVAILABILITY"
"abDeployCat","airbagsy","AIR BAG SYSTEM DEPLOYED"
"abfail","airbags0","AIR BAG SYSTEM FAILURE"
"csafe","type.of.","TYPE OF CHILD SAFETY SEAT"
"timeTOdeath","time.to.","TIME TO DEATH"
"htOcc","height.o","HEIGHT OF OCCUPANT"
"hospstay","hospital","HOSPITAL STAY"
"injSeverity","injury.s","INJURY SEVERITY (POLICE RATING)"
"manubelt","properus","PROPER USE OF MANUAL BELTS"
"occupant","occupant","OCCUPANT NUMBER"
"occRole","occupan0","OCCUPANT'S ROLE"
"occSpos","occupan1","OCCUPANT'S SEAT POSITION"
"sex","occupan2","OCCUPANT'S SEX"
"treatmort","treatmen","TREATMENT - MORTALITY"
"occWt","occupan3","OCCUPANT'S WEIGHT"
"dead","dead","dead"
"airbag","airbag","airbag"
"seatbelt","seatbelt","seatbelt"
"male","male","male"
"driver","driver","driver"
"dirforce","directio","DIRECTION OF FORCE (HIGHEST)"
"defloc","deformat","DEFORMATION LOCATION (HIGHEST)"
"old","old","old"
"lowsp","lowsp","lowsp"
"frontal","frontal","frontal"
"occside","occside","occside"
"othside","othside","othside"
"back","back","back"
"nobelt","nobelt","nobelt"
"highsp","highsp","highsp"
"deploy","deploy","deploy"
"abcat","abcat","abcat"
