"county","cornhec","soyhec","cornpix","soypix"
1,165.759994506836,8.09000015258789,374,55
2,96.3199996948242,106.029998779297,209,218
3,76.0800018310547,103.599998474121,253,250
4,185.350006103516,6.46999979019165,432,96
4,116.430000305176,63.8199996948242,367,178
5,162.080001831055,43.5,361,137
5,152.039993286133,71.4300003051758,288,206
5,161.75,42.4900016784668,369,165
6,92.879997253418,105.26000213623,206,218
6,149.940002441406,76.4899978637695,316,221
6,64.75,174.339996337891,145,338
7,127.069999694824,95.6699981689453,355,128
7,133.550003051758,76.5699996948242,295,147
7,77.6999969482422,94.4800033569336,223,204
8,206.389999389648,37.8400001525879,459,77
8,108.330001831055,131.119995117188,290,217
8,118.169998168945,124.440002441406,307,258
9,99.9599990844727,144.149993896484,252,303
9,140.429992675781,103.599998474121,293,221
9,98.9499969482422,88.5899963378906,206,222
9,131.039993286133,115.580001831055,302,274
10,114.120002746582,99.1500015258789,313,190
10,100.599998474121,124.559997558594,246,270
10,127.879997253418,110.879997253418,353,172
10,116.900001525879,109.139999389648,271,228
10,87.4100036621094,143.660003662109,237,297
11,93.4800033569336,91.0500030517578,221,167
11,121,132.330001831055,369,191
11,109.910003662109,143.139999389648,343,249
11,122.660003662109,140.130004882812,342,182
11,104.209999084473,118.569999694824,294,179
12,88.5899963378906,102.589996337891,220,262
12,88.5899963378906,29.4599990844727,340,87
12,165.350006103516,69.2799987792969,355,160
12,104,99.1500015258789,261,221
12,88.629997253418,143.660003662109,187,345
12,157.699996948242,94.4899978637695,350,190
