"treatment","outcome"
"mites","wilt"
"mites","wilt"
"mites","wilt"
"mites","wilt"
"mites","wilt"
"mites","wilt"
"mites","wilt"
"mites","wilt"
"mites","wilt"
"mites","wilt"
"mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"no mites","wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"mites","no wilt"
"no mites","no wilt"
"no mites","no wilt"
"no mites","no wilt"
"no mites","no wilt"
