"SCH_ID","coed","smorale","free","catholic"
1,1,5,1,0
2,1,4,1,0
3,1,3,4,0
4,1,4,5,0
5,1,3,1,0
6,1,4,1,0
7,1,5,3,0
8,1,5,4,0
9,1,4,1,0
10,1,3,5,0
11,1,5,4,0
12,1,3,4,0
13,1,5,2,0
14,1,3,2,0
15,1,4,4,0
16,1,5,1,0
17,1,5,1,0
18,1,4,4,0
19,1,4,1,0
20,1,5,1,0
21,1,4,5,0
22,1,4,5,0
23,1,5,6,0
24,1,4,3,0
25,1,4,3,0
26,1,4,1,0
27,1,4,4,0
28,1,4,5,0
29,1,4,5,0
30,1,4,6,0
31,1,4,1,0
32,1,3,7,0
33,1,4,3,0
34,1,4,4,0
35,1,5,2,0
36,1,3,6,0
37,1,5,1,0
38,1,5,4,0
39,1,4,5,0
40,1,3,4,0
41,1,2,3,0
42,0,5,1,1
43,1,3,3,0
44,1,4,2,1
45,1,4,4,0
46,1,4,2,0
47,1,5,1,0
48,1,4,1,1
49,1,3,5,0
50,1,3,3,0
51,1,4,4,0
52,1,5,1,0
53,1,4,1,1
54,0,5,4,0
55,1,4,6,0
56,1,4,1,0
57,1,4,2,0
58,1,3,4,0
59,1,4,1,1
60,1,3,6,0
61,1,4,6,0
62,1,4,1,0
63,1,4,3,0
64,1,4,6,0
65,1,4,3,0
66,1,4,3,0
67,1,3,4,0
68,1,4,1,0
69,1,4,6,0
70,1,4,4,0
71,1,4,5,0
72,1,3,6,0
73,1,5,1,0
74,1,4,4,0
75,1,4,1,0
76,1,4,3,0
77,1,4,1,0
78,1,5,2,0
79,1,4,7,0
80,1,3,5,0
81,1,4,2,0
82,1,4,2,0
83,0,5,1,1
84,1,2,1,0
85,1,4,5,0
86,1,5,1,1
87,1,3,7,0
88,0,4,1,1
89,1,4,4,0
90,1,2,6,0
91,1,3,1,0
92,1,2,6,0
93,1,4,5,0
94,1,4,4,0
95,1,4,1,0
96,1,3,3,0
97,1,4,1,0
98,1,2,3,0
99,1,4,5,0
100,1,3,2,0
101,1,5,1,0
102,1,3,4,0
103,1,5,1,1
104,1,4,2,0
105,1,4,1,0
106,1,4,3,0
107,1,4,5,0
108,1,5,1,0
109,1,5,4,0
110,1,5,1,0
111,1,5,6,0
112,1,4,6,1
113,1,4,3,0
114,1,5,3,0
115,1,4,5,0
116,1,3,3,0
117,1,3,1,0
118,1,4,5,0
119,1,3,1,0
120,1,2,6,0
121,1,4,3,0
122,1,5,6,0
123,1,4,4,0
124,1,4,4,0
125,1,5,1,0
126,1,4,3,0
127,1,4,6,0
128,1,3,3,0
129,1,3,5,0
130,1,4,4,1
131,1,5,2,0
132,1,5,5,0
133,1,5,5,0
134,1,4,5,0
135,1,4,4,0
136,1,3,6,0
137,1,4,3,0
138,1,3,3,0
139,0,5,1,1
140,1,4,1,0
141,1,5,4,0
142,1,4,4,0
143,1,4,1,0
144,1,5,1,0
145,1,4,2,0
146,1,4,1,0
147,1,5,1,0
148,1,4,7,0
149,1,4,3,0
150,1,2,7,0
151,1,4,1,1
152,1,3,4,0
153,1,4,5,0
154,1,5,5,0
155,1,4,5,0
156,1,4,3,0
157,1,4,4,0
158,1,4,3,0
159,1,4,5,0
160,1,3,7,0
161,1,5,6,0
162,1,4,1,0
163,1,5,1,1
164,1,5,3,0
165,1,3,4,0
166,1,5,3,0
167,1,4,5,0
168,1,4,5,0
169,1,3,2,0
170,1,4,6,0
171,1,5,4,0
172,1,4,1,1
173,1,5,1,1
174,1,3,4,0
175,1,3,7,0
176,1,4,4,0
177,1,5,1,1
178,1,4,3,0
179,1,3,4,0
180,1,3,1,0
181,1,3,3,0
182,1,3,1,0
183,1,5,5,0
184,1,2,5,0
185,1,5,4,0
186,1,3,5,0
