"dbh","wood","bark","root","rootsk","branch","species"
6,NA,NA,6,0.3,NA,"Acacia mabellae"
23,353,NA,135,13,35,"Acacia mabellae"
20,208,NA,NA,NA,41,"Acacia mabellae"
23,445,NA,NA,NA,50,"Acacia mabellae"
24,590,NA,NA,NA,NA,"Acacia mabellae"
5,14,NA,2,2.4,NA,"Acacia mabellae"
5,10,NA,NA,NA,NA,"Acacia mabellae"
8,31,NA,NA,NA,NA,"Acacia mabellae"
10,59,NA,NA,NA,NA,"Acacia mabellae"
8,30,NA,6,1,4,"Acacia mabellae"
22,320,NA,51,17,30,"Acacia mabellae"
9,20,NA,6,1,13,"Acacia mabellae"
10,29,NA,NA,NA,10,"Acacia mabellae"
10,35,NA,9,2,17,"Acacia mabellae"
19,203,NA,16,11,46,"Acacia mabellae"
35,1090,NA,66,24,92,"Acacia mabellae"
6,10,NA,NA,NA,11,"C. fraseri"
4,7,NA,NA,NA,6,"C. fraseri"
4,3,NA,NA,NA,5,"C. fraseri"
6,13,NA,NA,NA,5,"C. fraseri"
5,9,NA,NA,NA,8,"C. fraseri"
8,20,NA,NA,NA,9,"C. fraseri"
6,16,NA,NA,NA,6,"C. fraseri"
5,7,NA,NA,NA,8,"C. fraseri"
7,29,NA,NA,NA,14,"C. fraseri"
5,12,NA,NA,NA,8,"C. fraseri"
7,25,NA,NA,NA,16,"C. fraseri"
6,10,NA,NA,NA,9,"C. fraseri"
25,506,NA,NA,NA,45,"Acmena smithii"
24,508,NA,NA,NA,65,"Acmena smithii"
31,817,NA,NA,NA,95,"Acmena smithii"
21,274,NA,NA,NA,31,"Acmena smithii"
16,162,NA,NA,NA,25,"Acmena smithii"
27,540,NA,NA,NA,55,"Acmena smithii"
19,272,NA,NA,NA,52,"Acmena smithii"
21,293,NA,NA,NA,NA,"Acmena smithii"
10,77,NA,NA,NA,NA,"Acmena smithii"
23,408,NA,NA,NA,NA,"Acmena smithii"
27,550,105,44,9,59,"B. myrtifolia"
26,414,78,38,13,44,"B. myrtifolia"
9,42,8,5,1.3,7,"B. myrtifolia"
12,85,13,17,2.2,16,"B. myrtifolia"
9,35,NA,NA,NA,9,"B. myrtifolia"
11,60,NA,NA,NA,13,"B. myrtifolia"
10,60,NA,NA,NA,12,"B. myrtifolia"
37,1250,NA,NA,NA,76,"B. myrtifolia"
37,990,NA,NA,NA,90,"B. myrtifolia"
20,290,NA,NA,NA,36,"B. myrtifolia"
56,1500,NA,NA,NA,NA,"B. myrtifolia"
9,40,NA,NA,NA,NA,"Acmena smithii"
17,216,NA,NA,NA,40,"Acmena smithii"
17,208,NA,NA,NA,NA,"Acmena smithii"
10,50,NA,NA,NA,NA,"Acmena smithii"
6,18,NA,NA,NA,NA,"Acmena smithii"
22,382,NA,NA,NA,NA,"Acmena smithii"
15,161,NA,NA,NA,NA,"Acmena smithii"
15,140,NA,NA,NA,NA,"Acmena smithii"
19,280,NA,NA,NA,NA,"Acmena smithii"
11,84,NA,NA,NA,NA,"Acmena smithii"
9,50,NA,NA,NA,NA,"Acmena smithii"
25,510,NA,NA,NA,45,"Acmena smithii"
22,400,NA,NA,NA,35,"Acmena smithii"
10,70,NA,NA,NA,NA,"Acmena smithii"
12,115,NA,NA,NA,NA,"Acmena smithii"
48,1530,NA,NA,NA,120,"Acmena smithii"
