"distance","thickness"
13.75,279
15,278
16.25,280
17.5,278
18.75,275
20,274
21.25,276
22.5,277
23.75,276
25,275
26.25,277
27.5,278
28.75,276
30,276
31.25,278
32.5,276
33.75,275
35,273
36.25,283
37.5,279
38.75,279
40,278
41.25,276
42.5,276
43.75,275
45,273
46.25,274
47.5,274
48.75,275
50,276
51.25,275
52.5,276
53.75,276
55,271
56.25,274
57.5,270
58.75,270
61.25,270
62.5,273
63.75,270
65,260
66.25,267
67.5,261
68.75,260
70,256
71.25,251
72.5,249
73.75,248
75,248
76.25,250
77.5,251
78.75,253
80,251
81.25,251
82.5,254
83.75,257
