"Subject","Abstract","Frequent","Percent"
"A","Yes","Yes",60
"B","Yes","Yes",52
"C","Yes","Yes",20
"D","Yes","Yes",36
"E","Yes","Yes",40
"F","Yes","Yes",36
"G","Yes","Yes",36
"H","Yes","Yes",44
"I","Yes","Yes",35
"J","Yes","Yes",52
"A","Yes","No",44
"B","Yes","No",32
"C","Yes","No",32
"D","Yes","No",32
"E","Yes","No",32
"F","Yes","No",20
"G","Yes","No",40
"H","Yes","No",64
"I","Yes","No",40
"J","Yes","No",52
"A","No","Yes",60
"B","No","Yes",44
"C","No","Yes",40
"D","No","Yes",44
"E","No","Yes",52
"F","No","Yes",28
"G","No","Yes",32
"H","No","Yes",44
"I","No","Yes",32
"J","No","Yes",64
"A","No","No",44
"B","No","No",28
"C","No","No",24
"D","No","No",36
"E","No","No",44
"F","No","No",40
"G","No","No",28
"H","No","No",64
"I","No","No",56
"J","No","No",60
