"Student","Gender","PSATM","SATM","ACTM","Rank","Size","GPAadj","PlcmtScore","Recommends","Course","Grade","RecTaken","TooHigh","TooLow","CourseSuccess"
625,0,56,56,25,1,420,40,23,"R0",210,"A",1,0,0,1
628,0,57,NA,23,1,85,40,21,"R0",117,"A",1,0,0,1
629,1,NA,62,27,42,421,38,20,"R0",117,"A-",1,0,0,1
630,0,53,NA,27,6,75,38,20,"R0",117,"B",1,0,0,1
634,1,NA,64,31,72,462,35,19,"R0",114,"A",1,0,0,1
636,0,63,68,NA,96,518,34,18,"R0",117,"B+",1,0,0,1
638,0,42,NA,23,38,382,37,18,"R0",117,"A-",1,0,0,1
641,0,52,NA,24,72,480,37,17,"R0",117,"B+",1,0,0,1
643,0,51,58,NA,51,703,34,17,"R0",117,"A-",1,0,0,1
645,0,60,NA,26,215,524,32,16,"R0",117,"B",1,0,0,1
647,1,55,NA,22,19,55,35,15,"R0",117,"B+",1,0,0,1
648,0,56,59,25,47,345,36,15,"R0",210,"B",1,0,0,1
649,0,NA,NA,24,27,216,37,15,"R0",117,"C",1,0,0,0
650,1,NA,NA,24,97,766,35,15,"R0",117,"C+",1,0,0,0
651,0,NA,NA,23,26,140,32,14,"R0",117,"A-",1,0,0,1
652,1,NA,62,24,114,422,34,14,"R0",210,"B",1,0,0,1
654,0,42,NA,20,46,371,36,13,"R0",117,"A",1,0,0,1
661,1,NA,NA,24,35,90,29,10,"R0",114,"B",1,0,0,1
662,1,NA,68,29,230,442,27,10,"R0",210,"B-",1,0,0,0
663,0,NA,58,26,26,246,28,10,"R0",210,"B-",1,0,0,0
670,0,40,NA,18,50,311,33,8,"R0",114,"B",1,0,0,1
672,1,44,NA,18,24,96,35,8,"R0",109,"C+",1,0,0,0
673,0,40,NA,21,75,285,32,8,"R0",117,"B-",1,0,0,0
679,1,51,51,NA,131,294,30,7,"R0",117,"C-",1,0,0,0
682,1,NA,NA,21,NA,NA,31,7,"R0",114,"B-",1,0,0,0
685,0,NA,NA,19,60,267,31,5,"R0",210,"B-",1,0,0,0
687,0,NA,51,18,42,387,32,5,"R0",117,"B+",1,0,0,1
688,1,NA,NA,19,143,362,29,5,"R0",120,"C",0,1,0,0
691,0,NA,54,18,237,476,26,4,"R0",114,"B",1,0,0,1
693,0,44,NA,18,73,374,28,4,"R0",117,"B",1,0,0,1
699,0,43,NA,19,16,46,31,3,"R0",117,"C",1,0,0,0
701,1,NA,51,17,166,390,32,2,"R0",210,"F",1,0,0,0
702,1,NA,NA,14,37,75,30,2,"R0",117,"C+",1,0,0,0
704,0,NA,50,20,262,753,25,0,"R0",117,"C+",1,0,0,0
705,0,NA,NA,18,295,514,29,0,"R0",117,"B",1,0,0,1
719,1,NA,NA,19,32,95,NA,NA,"R0",117,"C",1,0,0,0
780,1,NA,NA,NA,NA,NA,NA,NA,"R0",117,"C-",1,0,0,0
783,NA,NA,NA,NA,NA,NA,NA,NA,"R0",114,"C",1,0,0,0
806,0,NA,62,NA,NA,NA,NA,NA,"R0",117,"A",1,0,0,1
808,NA,NA,38,20,273,445,29,10,"R0",210,"C",1,0,0,0
813,NA,44,NA,21,25,177,36,26,"R0",109,"B+",1,0,0,1
838,NA,50,NA,20,130,506,34,21,"R0",120,"S",0,1,0,NA
845,NA,NA,55,NA,NA,NA,31,19,"R0",117,"A",1,0,0,1
847,NA,60,65,24,NA,NA,23,12,"R0",117,"A",1,0,0,1
848,NA,NA,NA,21,77,297,33,19,"R0",117,"A-",1,0,0,1
849,NA,56,NA,26,35,398,39,30,"R0",117,"A",1,0,0,1
850,NA,49,48,NA,163,610,34,17,"R0",210,"B+",1,0,0,1
851,NA,NA,52,NA,118,516,23,10,"R0",117,"C",1,0,0,0
852,NA,NA,NA,27,114,469,28,18,"R0",117,"C",1,0,0,0
1124,NA,NA,58,25,19,197,36,22,"R0",120,"D-",0,1,0,0
1370,NA,NA,61,27,19,119,35,26,"R0",117,"A-",1,0,0,1
1408,NA,NA,53,26,NA,NA,27,16,"R0",117,"B",1,0,0,1
1422,NA,NA,61,NA,NA,NA,29,18,"R0",117,"A-",1,0,0,1
1437,NA,NA,58,NA,79,336,31,25,"R0",117,"C+",1,0,0,0
1451,NA,NA,NA,13,369,527,24,5,"R0",117,"",1,0,0,NA
1468,NA,61,NA,25,1,253,40,32,"R0",117,"B+",1,0,0,1
1477,NA,52,NA,22,27,71,34,17,"R0",117,"C+",1,0,0,0
1479,NA,NA,NA,19,16,136,35,15,"R0",117,"B+",1,0,0,1
1481,NA,NA,NA,15,NA,NA,NA,NA,"R0",109,"B+",1,0,0,1
1503,NA,51,NA,23,12,112,35,23,"R0",117,"B-",1,0,0,0
1519,NA,52,56,25,44,299,27,15,"R0",117,"A+",1,0,0,1
1530,NA,NA,NA,22,29,153,34,21,"R0",117,"B",1,0,0,1
1550,NA,NA,NA,16,110,328,33,15,"R0",117,"",1,0,0,NA
1567,NA,NA,52,NA,NA,NA,NA,NA,"R0",120,"B",0,1,0,1
1574,NA,NA,49,20,98,362,31,14,"R0",117,"C",1,0,0,0
1575,NA,NA,NA,19,44,125,31,19,"R0",117,"",1,0,0,NA
1581,NA,NA,46,NA,NA,NA,35,18,"R0",117,"B",1,0,0,1
1601,NA,53,48,NA,66,240,31,16,"R0",210,"B",1,0,0,1
1602,NA,NA,57,NA,NA,NA,27,14,"R0",210,"",1,0,0,NA
1604,NA,NA,NA,20,11,72,31,18,"R0",117,"C+",1,0,0,0
1607,NA,NA,NA,25,20,514,39,31,"R0",117,"B",1,0,0,1
1612,NA,NA,NA,26,100,499,35,26,"R0",117,"B+",1,0,0,1
1614,NA,48,NA,19,123,322,32,16,"R0",117,"B",1,0,0,1
1627,NA,61,63,NA,3,120,37,28,"R0",117,"B",1,0,0,1
1629,NA,NA,NA,18,44,190,34,17,"R0",117,"A-",1,0,0,1
1641,NA,56,NA,27,37,262,38,31,"R0",117,"A",1,0,0,1
1647,NA,48,NA,22,25,122,35,22,"R0",117,"B",1,0,0,1
1679,NA,NA,NA,17,199,666,32,15,"R0",109,"C-",1,0,0,0
1680,NA,NA,NA,22,93,608,35,25,"R0",117,"A",1,0,0,1
1688,NA,NA,NA,24,17,151,37,29,"R0",117,"",1,0,0,NA
1691,NA,51,NA,23,108,398,34,22,"R0",120,"C-",0,1,0,0
1707,NA,53,NA,23,5,120,39,28,"R0",117,"A-",1,0,0,1
1748,NA,NA,NA,20,0,0,38,23,"R0",117,"A-",1,0,0,1
1759,NA,47,50,21,29,159,33,20,"R0",117,"B-",1,0,0,0
1779,NA,53,61,NA,15,208,37,33,"R0",117,"A",1,0,0,1
1787,NA,NA,58,23,127,328,33,24,"R0",117,"B+",1,0,0,1
1821,NA,NA,54,26,3,28,39,30,"R0",117,"A-",1,0,0,1
1845,NA,56,64,28,166,451,33,31,"R0",120,"B+",0,1,0,1
1851,NA,NA,60,23,0,0,27,17,"R0",117,"C",1,0,0,0
1866,NA,NA,NA,27,95,598,36,29,"R0",117,"A-",1,0,0,1
1870,NA,NA,55,18,255,708,26,10,"R0",117,"B-",1,0,0,0
1927,NA,NA,57,NA,178,474,32,19,"R0",117,"B",1,0,0,1
1946,NA,56,NA,26,3,128,40,33,"R0",117,"A-",1,0,0,1
1956,NA,NA,50,22,19,276,38,29,"R0",109,"A-",1,0,0,1
1957,NA,48,NA,21,109,264,31,15,"R0",117,"B+",1,0,0,1
1961,NA,NA,62,20,0,0,32,22,"R0",117,"A",1,0,0,1
1968,NA,NA,NA,22,63,389,33,21,"R0",117,"A-",1,0,0,1
1975,NA,NA,57,23,103,340,30,18,"R0",117,"B-",1,0,0,0
2119,NA,53,54,26,143,475,33,26,"R0",117,"A-",1,0,0,1
2129,NA,NA,46,NA,50,583,34,23,"R0",109,"B",1,0,0,1
2165,NA,NA,58,23,36,410,38,27,"R0",117,"A",1,0,0,1
2199,NA,NA,NA,27,2,125,40,36,"R0",117,"B+",1,0,0,1
2208,NA,53,NA,21,78,412,35,21,"R0",117,"A-",1,0,0,1
2255,NA,65,68,30,12,644,38,32,"R0",210,"",1,0,0,NA
2285,NA,NA,NA,24,248,690,32,18,"R0",109,"B-",1,0,0,0
2321,NA,NA,NA,24,6,48,39,29,"R0",210,"A+",1,0,0,1
2331,NA,NA,NA,18,13,125,35,19,"R0",117,"B",1,0,0,1
2352,NA,NA,NA,20,46,615,38,23,"R0",117,"B+",1,0,0,1
2355,NA,NA,NA,27,160,479,32,24,"R0",117,"B",1,0,0,1
2375,NA,NA,NA,23,0,0,26,17,"R0",117,"C+",1,0,0,0
2377,NA,NA,NA,22,29,86,36,27,"R0",117,"A-",1,0,0,1
