"Sleep","Sleep7","SmokeLife","SmokeDaily","MarijuaEver","Age"
"",NA,"No","",0,16
"8 hours",1,"Yes","Yes",1,16
"5 hours",0,"Yes","Yes",1,17
"5 hours",0,"Yes","Yes",1,18
"7 hours",1,"Yes","No",1,17
"4 or less hours",0,"No","No",0,15
"6 hours",0,"No","No",0,17
"7 hours",1,"No","No",0,17
"8 hours",1,"Yes","No",0,16
"8 hours",1,"No","No",0,16
"4 or less hours",0,"Yes","Yes",1,18
"6 hours",0,"Yes","No",1,15
"7 hours",1,"No","No",0,15
"8 hours",1,"No","No",0,16
"5 hours",0,"Yes","Yes",1,16
"7 hours",1,"No","No",0,16
"7 hours",1,"No","No",0,17
"8 hours",1,"Yes","No",0,16
"7 hours",1,"Yes","No",1,16
"8 hours",1,"Yes","No",1,16
"7 hours",1,"Yes","No",1,14
"8 hours",1,"No","No",1,17
"7 hours",1,"No","No",0,16
"6 hours",0,"No","No",0,16
"6 hours",0,"No","No",0,16
"10 or more hours",1,"Yes","No",1,17
"8 hours",1,"No","No",1,15
"7 hours",1,"Yes","No",1,17
"8 hours",1,"Yes","No",1,14
"7 hours",1,"No","No",0,16
"8 hours",1,"No","No",0,15
"",NA,"Yes","No",1,18
"8 hours",1,"Yes","No",1,18
"6 hours",0,"No","No",0,15
"9 hours",1,"No","No",0,17
"",NA,"No","No",0,17
"6 hours",0,"Yes","No",1,17
"7 hours",1,"No","No",0,16
"5 hours",0,"No","No",0,18
"7 hours",1,"Yes","No",1,15
"10 or more hours",1,"No","No",0,17
"7 hours",1,"Yes","Yes",1,18
"6 hours",0,"No","No",0,16
"6 hours",0,"Yes","No",0,16
"10 or more hours",1,"Yes","No",0,17
"8 hours",1,"No","No",0,16
"7 hours",1,"No","No",0,14
"",NA,"Yes","",0,15
"6 hours",0,"No","No",0,18
"8 hours",1,"No","No",0,14
"7 hours",1,"Yes","No",NA,17
"9 hours",1,"Yes","No",0,14
"7 hours",1,"Yes","No",0,15
"7 hours",1,"No","No",0,16
"7 hours",1,"No","No",0,18
"5 hours",0,"Yes","Yes",1,17
"8 hours",1,"No","No",0,16
"7 hours",1,"Yes","No",1,17
"7 hours",1,"Yes","No",1,18
"8 hours",1,"Yes","No",1,18
"7 hours",1,"No","No",0,15
"6 hours",0,"No","No",0,14
"7 hours",1,"Yes","No",1,18
"7 hours",1,"Yes","No",0,15
"7 hours",1,"No","No",0,16
"6 hours",0,"Yes","No",0,17
"8 hours",1,"","",0,14
"7 hours",1,"Yes","No",1,15
"7 hours",1,"No","No",0,15
"",NA,"No","",0,16
"7 hours",1,"Yes","No",1,16
"8 hours",1,"No","No",0,18
"9 hours",1,"Yes","No",1,18
"6 hours",0,"No","No",0,16
"",NA,"Yes","No",1,17
"4 or less hours",0,"Yes","No",NA,15
"7 hours",1,"Yes","No",1,15
"",NA,"No","",0,18
"5 hours",0,"No","No",1,16
"10 or more hours",1,"No","No",0,15
"",NA,"No","No",1,18
"8 hours",1,"Yes","No",0,15
"6 hours",0,"Yes","No",1,16
"7 hours",1,"Yes","No",0,16
"7 hours",1,"No","No",0,18
"5 hours",0,"Yes","No",1,18
"5 hours",0,"Yes","No",0,14
"",NA,"No","No",0,14
"8 hours",1,"No","No",0,14
"6 hours",0,"No","No",0,18
"6 hours",0,"No","No",0,18
"",NA,"No","No",1,15
"7 hours",1,"Yes","No",1,18
"8 hours",1,"No","No",0,18
"8 hours",1,"No","No",1,15
"",NA,"","",1,15
"8 hours",1,"No","No",1,18
