"time","measles"
1629,42
1630,2
1631,3
1632,80
1633,21
1634,33
1635,27
1636,12
1637,NA
1638,NA
1639,NA
1640,NA
1641,NA
1642,NA
1643,NA
1644,NA
1645,NA
1646,NA
1647,5
1648,92
1649,3
1650,33
1651,33
1652,62
1653,8
1654,52
1655,11
1656,153
1657,15
1658,80
1659,6
1660,74
1661,188
1662,20
1663,42
1664,311
1665,7
1666,3
1667,83
1668,200
1669,15
1670,295
1671,7
1672,118
1673,15
1674,795
1675,1
1676,83
1677,87
1678,93
1679,117
1680,49
1681,121
1682,50
1683,39
1684,6
1685,197
1686,25
1687,NA
1688,NA
1689,NA
1690,NA
1691,NA
1692,NA
1693,NA
1694,NA
1695,NA
1696,NA
1697,NA
1698,NA
1699,NA
1700,NA
1701,4
1702,27
1703,51
1704,12
1705,319
1706,361
1707,37
1708,126
1709,89
1710,181
1711,97
1712,77
1713,61
1714,139
1715,30
1716,270
1717,35
1718,492
1719,243
1720,213
1721,238
1722,114
1723,231
1724,118
1725,70
1726,256
1727,72
1728,82
1729,41
1730,311
1731,102
1732,30
1733,605
1734,20
1735,10
1736,169
1737,127
1738,216
1739,326
1740,46
1741,42
1742,981
1743,17
1744,5
1745,14
1746,250
1747,81
1748,10
1749,106
1750,321
1751,21
1752,111
1753,253
1754,12
1755,423
1756,156
1757,24
1758,696
1759,316
1760,175
1761,394
1762,122
1763,610
1764,65
1765,54
1766,482
1767,80
1768,409
1769,90
1770,325
1771,115
1772,211
1773,199
1774,121
1775,283
1776,153
1777,145
1778,388
1779,99
1780,272
1781,201
1782,170
1783,185
1784,29
1785,20
1786,793
1787,84
1788,55
1789,534
1790,119
1791,156
1792,450
1793,248
1794,172
1795,328
1796,307
1797,222
1798,196
1799,223
1800,395
1801,136
1802,559
1803,438
1804,619
1805,523
1806,530
1807,452
1808,1386
1809,106
1810,1031
1811,235
1812,427
1813,550
1814,817
1815,711
1816,1106
1817,725
1818,728
1819,695
1820,720
1821,547
1822,712
1823,573
1824,966
1825,743
1826,774
1827,525
1828,736
1829,578
1830,479
1831,750
1832,NA
1833,NA
1834,NA
1835,NA
1836,NA
1837,NA
1838,NA
1839,NA
1840,NA
1841,973
1842,1293
1843,1442
1844,1182
1845,2318
1846,747
1847,1778
1848,1144
1849,1154
1850,980
1851,1297
1852,595
1853,978
1854,1409
1855,878
1856,1479
1857,1341
1858,2369
1859,1330
1860,2090
1861,1062
1862,2334
1863,1634
1864,2788
1865,1290
1866,2220
1867,1143
1868,1962
1869,1456
1870,1449
1871,1427
1872,1680
1873,2149
1874,1680
1875,1408
1876,1720
1877,2387
1878,1500
1879,2475
1880,1501
1881,2533
1882,NA
1883,NA
1884,NA
1885,NA
1886,NA
1887,NA
1888,NA
1889,NA
1890,NA
1891,NA
1892,NA
1893,NA
1894,NA
1895,NA
1896,NA
1897,NA
1898,NA
1899,NA
1900,NA
1901,NA
1902,NA
1903,NA
1904,NA
1905,NA
1906,NA
1907,NA
1908,NA
1909,NA
1910,NA
1911,3274
1912,1151
1913,2306
1914,958
1915,2676
1916,712
1917,1819
1918,1935
1919,303
1920,1113
1921,157
1922,1656
1923,154
1924,1539
1925,117
1926,1170
1927,53
1928,1480
1929,112
1930,1113
1931,56
1932,885
1933,62
1934,906
1935,10
1936,596
1937,15
1938,245
1939,2
