"time","temp"
0,98.2
1,94.4
2,91.4
3,89.1
4,86.9
5,84.9
6,83.1
7,81.2
8,79.5
9,78
10,76.5
11,75.2
12,73.8
13,72.6
14,71.4
15,70.3
16,69.3
17,68.2
18,67.2
19,66.3
20,65.3
21,64.3
22,63.7
23,62.9
24,62.1
25,61.5
26,60.7
27,60
28,59.4
29,58.6
30,58.1
31,57.4
32,56.8
33,56.1
34,55.6
35,55
36,54.5
37,54
38,53.5
39,53
40,52.5
41,52.1
42,51.7
43,51.3
44,50.8
45,50.5
46,50
47,49.6
48,49.2
49,48.8
50,48.5
51,48.1
52,47.7
53,47.3
54,47
55,46.6
56,46.3
57,46
58,45.7
59,45.3
60,45.1
61,44.7
62,44.5
63,44.2
64,43.8
65,43.6
66,43.2
67,43
68,42.7
69,42.5
70,42.2
71,42
72,41.6
73,41.5
74,41.2
75,41
76,40.7
77,40.6
78,40.3
79,40.2
80,40
81,39.5
82,39.3
83,39.1
84,38.8
85,38.7
86,38.4
87,38.2
88,38.1
89,37.9
90,37.7
91,37.5
92,37.3
93,37.1
94,37
95,36.8
96,36.6
97,36.5
98,36.3
99,36.2
100,36
101,35.8
102,35.7
103,35.6
104,35.4
105,35.3
106,35.1
107,35
108,34.9
109,34.7
110,34.5
111,34.4
112,34.2
113,34.1
114,33.9
115,33.8
116,33.7
117,33.5
118,33.4
119,33.3
120,33.2
121,33
122,32.9
123,32.8
124,32.7
125,32.6
126,32.4
127,32.3
128,32.2
129,32.1
130,32
131,31.9
132,31.8
133,31.7
134,31.5
135,31.5
136,31.4
137,31.3
138,31.1
139,31.1
140,31
141,30.9
142,30.7
143,30.7
144,30.6
145,30.5
146,30.4
147,30.3
148,30.2
149,30.1
150,30.1
151,30
152,30
153,29.8
154,29.8
155,29.7
156,29.6
157,29.5
158,29.4
159,29.4
160,29.2
161,29.2
162,29.1
163,29
164,29
165,28.9
166,28.8
167,28.7
168,28.6
169,28.6
170,28.5
171,28.4
172,28.4
173,28.3
174,28.2
175,28.2
176,28.1
177,28
178,28
179,27.9
180,27.8
181,27.8
182,27.7
183,27.7
184,27.6
185,27.5
186,27.5
187,27.4
188,27.4
189,27.3
190,27.2
191,27.2
192,27.1
193,27.1
194,27
195,27
196,26.9
197,26.9
198,26.8
199,26.8
200,26.7
201,26.7
202,26.6
203,26.6
204,26.5
205,26.5
206,26.4
207,26.4
208,26.4
209,26.3
210,26.2
211,26.2
212,26.2
213,26.1
214,26.1
215,26.1
216,26
217,26
218,26
219,25.9
220,25.9
221,25.8
