"Tail_CH","Tail_RT","Tail_SS"
220,219,157
191,221,130
230,235,164
192,230,144
232,212,136
186,243,158
220,210,122
224,238,133
182,222,154
185,217,155
210,213,152
213,238,135
221,243,155
198,232,160
215,238,137
160,202,127
202,227,150
225,227,150
158,222,129
226,237,133
221,238,136
157,213,137
227,211,126
184,190,137
193,245,160
196,246,140
227,207,133
208,209,136
190,200,151
185,215,131
195,219,134
215,198,155
212,207,150
206,204,164
180,205,159
187,230,160
219,227,157
179,208,160
223,231,164
203,222,160
185,225,125
192,225,154
195,233,151
192,214,158
198,233,153
214,245,131
218,210,145
209,229,165
216,235,168
193,221,156
216,210,164
200,212,155
205,225,159
192,215,156
233,235,145
181,209,132
196,212,138
213,209,153
185,250,186
212,235,178
214,222,158
183,236,133
183,210,125
188,239,158
211,228,159
187,220,132
201,233,136
185,236,137
186,216,155
184,233,155
NA,248,138
NA,221,130
NA,227,154
NA,223,132
NA,219,215
NA,225,218
NA,238,135
NA,235,221
NA,222,162
NA,238,150
NA,229,155
NA,227,149
NA,245,158
NA,223,148
NA,210,138
NA,234,158
NA,219,165
NA,216,160
NA,230,139
NA,223,144
NA,220,125
NA,241,135
NA,223,170
NA,238,146
NA,235,161
NA,240,137
NA,220,143
NA,218,128
NA,234,161
NA,232,131
NA,221,150
NA,220,136
NA,232,160
NA,214,135
NA,225,146
NA,238,155
NA,238,159
NA,229,132
NA,202,130
NA,226,161
NA,220,169
NA,215,164
NA,122,153
NA,215,151
NA,208,154
NA,211,169
NA,220,153
NA,204,137
NA,229,132
NA,205,155
NA,244,135
NA,225,124
NA,239,149
NA,222,154
NA,209,150
NA,211,147
NA,216,130
NA,250,153
NA,260,132
NA,217,123
NA,228,192
NA,218,132
NA,220,162
NA,227,152
NA,211,127
NA,222,122
NA,225,124
NA,221,158
NA,231,150
NA,235,133
NA,235,127
NA,200,127
NA,216,133
NA,223,135
NA,210,131
NA,229,157
NA,226,137
NA,207,163
NA,238,136
NA,197,142
NA,250,154
NA,215,156
NA,214,160
NA,230,149
NA,213,131
NA,214,137
NA,224,126
NA,215,165
NA,239,129
NA,214,156
NA,232,135
NA,205,129
NA,243,131
NA,255,160
NA,276,152
NA,210,132
NA,231,157
NA,216,119
NA,210,130
NA,220,124
NA,260,130
NA,200,140
NA,230,159
NA,220,138
NA,220,159
NA,235,136
NA,215,132
NA,215,131
NA,221,162
NA,225,163
NA,238,154
NA,212,161
NA,215,157
NA,235,158
