"meters","A","P","habitat"
25,9,8,"NWsoak"
37,3,20,"SWsoak"
109,7,9,"Lowerside"
10,0,2,"Lowerside"
133,9,1,"Upperside"
26,3,18,"Disturbed"
4,0,5,"Disturbed"
3,0,5,"Disturbed"
3,0,2,"Disturbed"
27,39,5,"NWsoak"
16,7,16,"SWsoak"
6,12,0,"Lowerside"
17,6,0,"Lowerside"
3,2,0,"Lowerside"
5,1,0,"Lowerside"
163,5,1,"Upperside"
10,2,4,"NEsoak"
5,2,0,"Disturbed"
13,23,6,"NWsoak"
63,10,12,"SWsoak"
4,5,0,"Lowerside"
4,6,5,"Lowerside"
33,2,1,"Lowerside"
241,4,1,"Upperside"
18,2,0,"NEsoak"
2,3,1,"Disturbed"
182,4,2,"Upperside"
48,3,3,"NEsoak"
20,3,4,"SEsoak"
3,1,0,"SEsoak"
36,3,1,"SEsoak"
233,6,3,"Upperside"
44,1,1,"NEsoak"
35,9,0,"SEsoak"
8,10,0,"SEsoak"
55,2,0,"SEsoak"
6,0,2,"Disturbed"
90,6,2,"NEsoak"
44,0,4,"NEsoak"
21,0,4,"Bank"
36,9,1,"SEsoak"
