"abuse","status","unemrate","age","educ","married","famsize","white","exhealth","vghealth","goodhealth","fairhealth","northeast","midwest","south","centcity","outercity","qrt1","qrt2","qrt3","beertax","cigtax","ethanol","mothalc","fathalc","livealc","inwf","employ","agesq","beertaxsq","cigtaxsq","ethanolsq","educsq"
1,1,4,50,4,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.333999991416931,38,2.03945994377136,0,0,0,0,0,2500,0.111555993556976,1444,4.15939664840698,16
0,3,4,37,12,1,5,1,0,0,1,0,0,1,0,0,0,1,0,0,0.333999991416931,38,2.03945994377136,0,0,0,1,1,1369,0.111555993556976,1444,4.15939664840698,144
0,3,4,53,9,1,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0.333999991416931,38,2.03945994377136,0,0,0,1,1,2809,0.111555993556976,1444,4.15939664840698,81
0,3,3.29999995231628,59,11,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0.239999994635582,26,2.44998002052307,0,0,0,1,1,3481,0.0575999990105629,676,6.00240230560303,121
0,3,3.29999995231628,43,10,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0.239999994635582,26,2.44998002052307,0,1,1,1,1,1849,0.0575999990105629,676,6.00240230560303,100
0,3,3.29999995231628,38,10,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0.239999994635582,26,2.44998002052307,0,0,0,1,1,1444,0.0575999990105629,676,6.00240230560303,100
0,3,6.80000019073486,34,10,1,4,1,0,0,1,0,0,1,0,0,1,1,0,0,0.158000007271767,20,2.12700009346008,0,1,1,1,1,1156,0.024964002892375,400,4.52412939071655,100
0,1,6.80000019073486,45,2,1,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0.158000007271767,20,2.12700009346008,0,0,0,0,0,2025,0.024964002892375,400,4.52412939071655,4
0,1,6.80000019073486,47,5,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0.158000007271767,20,2.12700009346008,0,1,1,0,0,2209,0.024964002892375,400,4.52412939071655,25
0,3,6.80000019073486,31,12,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0.158000007271767,20,2.12700009346008,0,0,0,1,1,961,0.024964002892375,400,4.52412939071655,144
0,3,6.80000019073486,43,18,1,4,1,1,0,0,0,0,1,0,1,0,1,0,0,0.158000007271767,20,2.12700009346008,0,0,0,1,1,1849,0.024964002892375,400,4.52412939071655,324
1,3,6.80000019073486,46,12,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.158000007271767,20,2.12700009346008,0,1,1,1,1,2116,0.024964002892375,400,4.52412939071655,144
0,3,6.80000019073486,36,12,1,3,1,0,1,0,0,0,1,0,1,0,1,0,0,0.158000007271767,20,2.12700009346008,0,1,1,1,1,1296,0.024964002892375,400,4.52412939071655,144
0,3,6,29,16,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0.360000014305115,14,1.73238003253937,0,0,0,1,1,841,0.129600003361702,196,3.00114059448242,256
0,3,6,32,15,1,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0.360000014305115,14,1.73238003253937,0,0,0,1,1,1024,0.129600003361702,196,3.00114059448242,225
0,3,6,37,12,1,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0.360000014305115,14,1.73238003253937,0,0,0,1,1,1369,0.129600003361702,196,3.00114059448242,144
0,3,6,27,12,1,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0.360000014305115,14,1.73238003253937,0,0,1,1,1,729,0.129600003361702,196,3.00114059448242,144
0,3,6,55,11,1,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0.360000014305115,14,1.73238003253937,0,0,0,1,1,3025,0.129600003361702,196,3.00114059448242,121
0,3,6,38,16,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0.360000014305115,14,1.73238003253937,0,0,0,1,1,1444,0.129600003361702,196,3.00114059448242,256
0,3,6,25,12,1,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0.360000014305115,14,1.73238003253937,0,1,0,1,1,625,0.129600003361702,196,3.00114059448242,144
