"day","closing"
3,358.76
4,355.67
5,352.2
8,353.79
9,349.62
10,347.31
11,348.53
12,339.93
15,337
16,340.75
17,337.4
18,338.19
19,339.15
22,330.38
23,331.61
24,330.26
25,326.08
26,325.8
29,325.2
30,322.98
31,329.08
32,328.79
33,330.92
36,331.85
37,329.66
38,333.75
39,332.96
40,333.62
43,330.08
44,331.02
45,332.01
46,334.89
47,332.72
50,327.99
51,327.67
52,325.7
53,324.15
54,328.67
57,330.26
58,331.89
59,332.74
60,335.54
61,333.74
64,337.93
65,336.95
66,340.27
67,337.93
68,338.67
71,336
72,336.87
73,338.07
74,341.91
75,343.53
78,341.57
79,339.74
80,335.69
81,337.22
82,337.63
85,341.5
86,342
87,340.79
88,339.94
89,338.7
92,343.64
93,341.09
94,340.73
95,340.08
96,341.37
99,342.07
100,341.92
101,344.34
102,344.74
103,344.68
106,340.72
107,338.09
108,335.12
109,331.05
110,330.36
113,332.03
114,332.92
115,329.11
116,330.8
117,332.25
120,334.48
121,335.57
122,338.39
123,340.53
124,342.01
127,342.86
128,343.82
129,352
130,354.75
131,354.28
134,354
135,354.47
136,354.64
137,358
138,358.43
141,359.29
142,358.41
