"aftertaste","panelist","product"
89,"a","937"
98,"a","298"
108,"a","493"
13,"b","937"
55,"b","298"
104,"b","493"
40,"c","937"
122,"c","298"
148,"c","493"
6,"d","937"
77,"d","298"
137,"d","493"
30,"e","937"
88,"e","298"
98,"e","493"
16,"f","937"
46,"f","649"
129,"f","493"
6,"g","937"
28,"g","649"
80,"g","493"
18,"h","937"
63,"h","649"
85,"h","493"
29,"i","937"
106,"i","649"
124,"i","493"
14,"j","937"
122,"j","649"
138,"j","493"
18,"k","937"
21,"k","649"
24,"k","298"
76,"l","937"
17,"l","649"
24,"l","298"
45,"m","937"
98,"m","649"
60,"m","298"
46,"n","937"
58,"n","649"
71,"n","298"
4,"o","937"
35,"o","649"
72,"o","298"
39,"p","649"
94,"p","493"
65,"p","298"
25,"q","649"
58,"q","493"
69,"q","298"
57,"r","649"
79,"r","493"
68,"r","298"
41,"s","649"
20,"s","493"
99,"s","298"
21,"t","649"
9,"t","493"
33,"t","298"
