"out","out.enc","med","med.enc","ttt","manip","enc"
1,1,0,0,0,0,0
1,1,0,0,1,0,-1
1,1,1,1,0,0,0
1,1,0,0,0,0,1
1,1,1,1,0,0,1
0,1,1,0,1,1,-1
1,1,1,1,0,0,0
1,1,1,1,1,1,1
1,1,0,0,0,0,1
1,1,1,1,0,0,-1
0,0,1,0,0,1,0
1,1,0,0,0,0,0
1,1,0,0,0,1,0
1,1,0,0,0,0,1
1,1,1,1,0,1,0
1,1,0,0,0,1,-1
1,1,0,0,1,0,-1
1,1,1,1,0,1,0
0,0,0,0,0,0,-1
1,1,0,1,0,1,1
1,1,0,1,0,1,0
1,1,1,0,0,1,0
0,1,0,1,0,1,0
1,1,0,0,1,0,-1
1,1,0,1,0,0,1
1,1,1,0,0,1,0
1,1,0,1,1,0,1
1,1,0,0,1,0,1
1,1,0,0,0,1,-1
1,1,0,1,0,1,1
1,1,1,0,0,1,0
1,1,0,1,1,1,0
1,1,0,0,0,0,-1
1,1,0,0,1,0,-1
1,1,1,1,0,1,1
1,1,0,0,0,1,-1
0,0,0,0,0,1,1
0,0,0,1,1,1,1
0,0,0,0,0,1,-1
1,1,0,0,0,0,1
1,1,1,0,0,1,-1
0,0,0,0,0,1,1
0,1,0,1,1,1,0
0,0,1,0,0,1,0
0,1,0,1,0,1,1
1,1,0,0,1,0,0
1,1,1,1,0,0,0
1,0,1,0,1,0,-1
1,1,1,1,1,0,1
0,0,0,1,0,1,1
1,1,0,0,0,0,-1
1,1,0,0,0,0,-1
1,1,0,0,0,0,0
0,1,0,1,1,1,0
0,0,0,0,0,1,1
1,1,0,1,0,1,1
1,1,0,0,0,0,0
1,1,0,0,0,0,1
1,1,1,0,0,0,-1
0,0,0,0,0,1,-1
0,0,0,0,0,0,-1
1,1,1,1,0,0,-1
1,1,0,0,0,1,-1
1,1,1,0,0,1,1
1,1,1,1,0,0,0
1,1,1,1,0,1,0
1,1,0,0,0,1,-1
0,1,0,1,0,1,1
1,1,1,1,1,0,0
1,0,1,0,1,1,-1
1,1,1,0,0,1,1
1,1,0,0,0,0,-1
1,1,0,0,1,0,0
1,1,0,0,0,1,1
1,1,1,0,0,1,-1
1,1,0,0,0,0,0
0,0,0,0,0,0,-1
0,0,0,0,0,0,0
1,1,0,0,1,0,-1
1,1,1,0,0,1,-1
1,1,1,0,0,1,0
1,1,1,0,0,1,-1
1,1,1,0,0,1,1
1,1,0,0,0,1,-1
1,1,1,1,0,1,0
1,1,1,1,0,0,0
0,0,0,0,0,0,-1
1,0,1,0,1,1,-1
0,0,0,0,0,1,-1
0,0,0,0,1,1,-1
1,1,1,1,0,1,1
0,0,1,1,1,0,0
1,1,1,0,1,1,-1
1,1,1,0,1,1,0
1,1,0,1,0,1,0
0,0,0,0,0,0,-1
1,1,0,0,0,1,-1
0,0,0,0,0,0,-1
1,1,0,0,0,1,-1
0,0,0,0,0,0,-1
1,1,0,0,0,1,-1
1,1,1,0,0,0,-1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,-1
1,1,1,1,0,1,0
1,1,1,1,0,0,0
1,1,1,1,1,0,1
0,0,0,0,0,1,0
0,0,0,0,0,0,1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
1,1,0,0,1,0,-1
1,1,0,0,0,1,-1
1,1,0,0,0,1,0
1,1,0,1,0,1,0
1,1,1,0,0,1,-1
1,0,1,0,0,1,-1
1,1,1,1,0,1,1
1,1,0,0,0,0,0
0,0,0,0,0,1,1
1,1,1,1,0,0,0
0,0,0,0,0,0,1
1,1,1,1,1,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,-1
0,0,0,0,0,0,1
1,1,1,0,0,1,1
0,0,0,0,0,0,0
1,1,0,0,0,1,1
0,1,0,1,1,1,-1
1,1,1,0,0,1,1
1,1,0,0,0,0,1
1,1,0,0,1,0,1
0,0,0,0,0,1,1
0,0,0,0,1,0,0
1,1,1,1,1,0,0
1,1,0,0,0,0,0
0,0,0,0,0,1,-1
1,1,1,1,0,0,1
0,0,0,0,0,0,0
1,1,1,0,0,1,-1
1,1,1,1,1,1,1
1,1,1,1,0,0,1
0,0,0,0,0,1,0
1,1,1,1,0,0,1
1,1,0,0,0,0,0
1,1,1,0,0,1,-1
0,0,0,0,0,1,0
1,1,1,1,1,1,1
1,1,0,0,0,0,1
1,1,0,1,0,1,1
1,1,1,1,1,0,0
