"year","Time","Distance","race"
1912,0.176666666666667,0.1,"100m"
1921,0.173333333333333,0.1,"100m"
1930,0.171666666666667,0.1,"100m"
1936,0.17,0.1,"100m"
1956,0.168333333333333,0.1,"100m"
1960,0.166666666666667,0.1,"100m"
1968,0.165833333333333,0.1,"100m"
1983,0.1655,0.1,"100m"
1988,0.165333333333333,0.1,"100m"
1991,0.165,0.1,"100m"
1991,0.164333333333333,0.1,"100m"
1994,0.164166666666667,0.1,"100m"
1996,0.164,0.1,"100m"
1999,0.163166666666667,0.1,"100m"
2005,0.162833333333333,0.1,"100m"
2007,0.162333333333333,0.1,"100m"
2008,0.162,0.1,"100m"
2008,0.1615,0.1,"100m"
1914,0.353333333333333,0.2,"200m"
1951,0.343333333333333,0.2,"200m"
1960,0.341666666666667,0.2,"200m"
1963,0.338333333333333,0.2,"200m"
1964,0.336666666666667,0.2,"200m"
1968,0.333333333333333,0.2,"200m"
1968,0.33,0.2,"200m"
1979,0.328666666666667,0.2,"200m"
1996,0.327666666666667,0.2,"200m"
1996,0.322,0.2,"200m"
2008,0.321666666666667,0.2,"200m"
1999,0.719666666666667,0.4,"400m"
1988,0.7215,0.4,"400m"
1968,0.731,0.4,"400m"
1968,0.735,0.4,"400m"
1967,0.741666666666667,0.4,"400m"
1964,0.748333333333333,0.4,"400m"
1956,0.753333333333333,0.4,"400m"
1955,0.756666666666667,0.4,"400m"
1950,0.763333333333333,0.4,"400m"
1948,0.766666666666667,0.4,"400m"
1947,0.77,0.4,"400m"
1941,0.766666666666667,0.4,"400m"
1936,0.768333333333333,0.4,"400m"
1932,0.77,0.4,"400m"
1932,0.773333333333333,0.4,"400m"
1928,0.783333333333333,0.4,"400m"
1916,0.79,0.4,"400m"
1900,0.796666666666667,0.4,"400m"
1997,1.68516666666667,0.8,"800m"
1997,1.68733333333333,0.8,"800m"
1997,1.6955,0.8,"800m"
1979,1.7055,0.8,"800m"
1977,1.724,0.8,"800m"
1976,1.725,0.8,"800m"
1974,1.735,0.8,"800m"
1973,1.72833333333333,0.8,"800m"
1973,1.74333333333333,0.8,"800m"
1972,1.73833333333333,0.8,"800m"
1955,1.76166666666667,0.8,"800m"
1939,1.77666666666667,0.8,"800m"
1938,1.80666666666667,0.8,"800m"
1937,1.82666666666667,0.8,"800m"
1936,1.82833333333333,0.8,"800m"
1934,1.83,0.8,"800m"
1928,1.84333333333333,0.8,"800m"
1926,1.86,0.8,"800m"
1912,1.865,0.8,"800m"
1912,3.94666666666667,1.5,"1500m"
1912,3.93,1.5,"1500m"
1917,3.91166666666667,1.5,"1500m"
1923,3.88333333333333,1.5,"1500m"
1924,3.87666666666667,1.5,"1500m"
1926,3.85,1.5,"1500m"
1930,3.82,1.5,"1500m"
1933,3.81666666666667,1.5,"1500m"
1934,3.81333333333333,1.5,"1500m"
1936,3.79666666666667,1.5,"1500m"
1941,3.79166666666667,1.5,"1500m"
1942,3.76333333333333,1.5,"1500m"
1943,3.74833333333333,1.5,"1500m"
1944,3.71666666666667,1.5,"1500m"
1954,3.71333333333333,1.5,"1500m"
1954,3.69666666666667,1.5,"1500m"
1955,3.68,1.5,"1500m"
1956,3.67666666666667,1.5,"1500m"
1957,3.67,1.5,"1500m"
1957,3.635,1.5,"1500m"
1958,3.6,1.5,"1500m"
1960,3.59333333333333,1.5,"1500m"
1967,3.55166666666667,1.5,"1500m"
1974,3.536,1.5,"1500m"
1979,3.53383333333333,1.5,"1500m"
1980,3.53483333333333,1.5,"1500m"
1980,3.52266666666667,1.5,"1500m"
1983,3.52066666666667,1.5,"1500m"
1983,3.51283333333333,1.5,"1500m"
1985,3.4945,1.5,"1500m"
1985,3.491,1.5,"1500m"
1992,3.481,1.5,"1500m"
1995,3.45616666666667,1.5,"1500m"
1998,3.43333333333333,1.5,"1500m"
1913,4.24,1.6093,"Mile"
1915,4.21,1.6093,"Mile"
1923,4.17333333333333,1.6093,"Mile"
1931,4.15333333333333,1.6093,"Mile"
1933,4.12666666666667,1.6093,"Mile"
1934,4.11166666666667,1.6093,"Mile"
1937,4.10666666666667,1.6093,"Mile"
1942,4.10166666666667,1.6093,"Mile"
1942,4.10333333333333,1.6093,"Mile"
1942,4.07666666666667,1.6093,"Mile"
1943,4.04333333333333,1.6093,"Mile"
1944,4.02666666666667,1.6093,"Mile"
1945,4.02166666666667,1.6093,"Mile"
1954,3.99,1.6093,"Mile"
1954,3.965,1.6093,"Mile"
1957,3.95333333333333,1.6093,"Mile"
1958,3.90833333333333,1.6093,"Mile"
1962,3.90666666666667,1.6093,"Mile"
1964,3.9005,1.6093,"Mile"
1965,3.89333333333333,1.6093,"Mile"
1966,3.855,1.6093,"Mile"
1967,3.85166666666667,1.6093,"Mile"
1975,3.85,1.6093,"Mile"
1975,3.82333333333333,1.6093,"Mile"
1979,3.81583333333333,1.6093,"Mile"
1980,3.81333333333333,1.6093,"Mile"
1981,3.80883333333333,1.6093,"Mile"
1981,3.80666666666667,1.6093,"Mile"
1981,3.78883333333333,1.6093,"Mile"
1985,3.772,1.6093,"Mile"
1993,3.73983333333333,1.6093,"Mile"
1999,3.71883333333333,1.6093,"Mile"
1912,8.77666666666667,3,"3000m"
1912,8.61333333333333,3,"3000m"
1917,8.595,3,"3000m"
1918,8.58,3,"3000m"
1918,8.55166666666667,3,"3000m"
1922,8.47666666666667,3,"3000m"
1923,8.46333333333333,3,"3000m"
1925,8.45833333333333,3,"3000m"
1926,8.42333333333333,3,"3000m"
1926,8.34,3,"3000m"
1932,8.31333333333333,3,"3000m"
1934,8.30666666666667,3,"3000m"
1936,8.24666666666667,3,"3000m"
1940,8.15,3,"3000m"
1942,8.02,3,"3000m"
1949,7.97833333333333,3,"3000m"
1955,7.92666666666667,3,"3000m"
1956,7.925,3,"3000m"
1956,7.88,3,"3000m"
1962,7.82,3,"3000m"
1965,7.81666666666667,3,"3000m"
1965,7.76666666666667,3,"3000m"
1965,7.66,3,"3000m"
1972,7.62666666666667,3,"3000m"
1974,7.58666666666667,3,"3000m"
1978,7.535,3,"3000m"
1989,7.49083333333333,3,"3000m"
1992,7.48266666666667,3,"3000m"
1994,7.4185,3,"3000m"
1996,7.3445,3,"3000m"
1912,31.3468333333333,10,"10000m"
1921,30.67,10,"10000m"
1924,30.59,10,"10000m"
1924,30.3866666666667,10,"10000m"
1924,30.1033333333333,10,"10000m"
1937,30.0933333333333,10,"10000m"
1938,30.0333333333333,10,"10000m"
1939,29.8766666666667,10,"10000m"
1944,29.59,10,"10000m"
1949,29.47,10,"10000m"
1949,29.4533333333333,10,"10000m"
1949,29.3533333333333,10,"10000m"
1950,29.0433333333333,10,"10000m"
1953,29.0266666666667,10,"10000m"
1954,28.9033333333333,10,"10000m"
1956,28.7133333333333,10,"10000m"
1956,28.5066666666667,10,"10000m"
