"maxtemp","mintemp","dewpt"
18,8,7
18,10,10
20,6,5
20,8,7
20,10,9
20,12,12
22,8,6
22,10,9
22,12,11
22,14,14
22,16,16
24,8,5
24,10,8
24,12,10
24,14,13
24,16,15
24,18,18
26,10,7
26,12,9
26,14,12
26,16,14
26,18,17
26,20,20
28,10,5
28,12,8
28,14,11
28,16,13
28,18,16
28,20,19
28,22,22
28,24,24
30,12,7
30,14,9
30,16,12
30,18,14
30,20,18
30,22,20
30,24,23
30,26,26
32,12,5
32,14,8
32,16,11
32,18,13
32,20,16
32,22,19
32,24,22
32,26,25
34,14,6
34,16,9
34,18,12
34,20,15
34,22,18
34,24,21
34,26,25
36,14,5
36,16,7
36,18,10
36,20,13
36,22,16
36,24,19
36,26,22
38,16,5
38,18,7
38,20,10
38,22,13
38,24,17
38,26,20
40,18,5
40,20,8
40,22,11
40,24,14
40,26,17
