"CO2level","vapPress","tempDiff","BtempDiff"
"high",2.56,1.5,1.84
"low",1.88,1.36,1.54
"medium",2.38,1.94,1.96
"high",2.55,0.85,0.93
"low",2.2,0.6,0.68
"medium",2.72,0.83,0.89
"high",2.17,-0.04,0.02
"medium",2.21,-0.11,-0.06
"high",1.64,1.25,1.1
"low",1.75,0.23,0.5
"medium",1.67,0.85,0.65
"high",1.67,1.64,1.27
"low",1.85,0.48,0.65
"medium",1.67,1.32,1.05
"high",1.81,1.99,1.72
"low",1.69,0.98,0.9
"medium",1.71,1.76,1.08
"high",1.86,1.9,1.6
"low",1.33,0.98,0.75
"medium",1.8,1.49,0.99
"high",1.58,2.42,1.89
"low",2.07,1.48,1.15
"medium",1.88,1.64,1.62
"high",1.95,3.2,2.31
"low",2.1,2.16,1.5
"medium",1.75,2.11,2.18
"high",1.38,2.74,2.01
"low",2.17,1.34,0.82
"medium",1.9,1.94,1.9
"high",1.66,3.22,2.34
"low",2.13,1.61,0.99
"medium",1.81,2.19,2.05
"high",2.16,2.24,1.71
"low",2.26,0.75,0.6
"medium",1.93,1.61,1.42
"high",2.19,1.62,1.26
"low",2.38,0.75,0.48
"medium",2.45,1.11,1.03
"high",2.29,2.47,1.97
"low",1.93,1.92,1.89
"medium",1.72,2.34,2.1
"high",2.32,1.59,1.73
"low",2.6,1.51,1.72
"medium",2.49,1.29,1.02
"high",2.7,0,0.13
"low",2.48,0,0.01
"medium",2.45,0.11,0.06
"high",2.05,2.85,1.72
"low",2.17,1.26,1.29
"medium",1.86,1.87,1.18
"high",2.56,0.49,0.44
"low",2.38,0.1,0.19
"medium",2.39,0.44,0.35
"high",1.8,2.09,1.47
"low",1.94,0.72,0.67
"medium",1.43,1.31,0.91
"high",1.82,1.2,1
"low",1.78,0.23,0.12
"medium",1.46,0.89,0.86
"high",2.03,1.94,1.58
"low",2.1,0.67,0.26
"medium",2.11,1.1,1
